title,timestamp_first,def_first,timestamp_end,def_end
(S)-scoulerine 9-O-methyltransferase,2007-11-13T19:34:04Z,"<y> -11-13T19:34:04Z </y> In enzymology, a <t> (S)-scoulerine 9-O-methyltransferase </t> (EC 2.",2016-08-10T02:25:31Z,"<y> -12-11T05:42:30Z </y> In enzymology, a <t> (S)-scoulerine 9-O-methyltransferase </t> (EC 2."
(acetyl-CoA carboxylase)-phosphatase,2007-12-12T20:25:17Z,"<y> -12-12T20:25:17Z </y> In enzymology, a -phosphatase (EC 3.",2016-08-10T13:22:59Z,"<y> -09-23T07:25:21Z </y> In enzymology, a -phosphatase (EC 3."
(cytochrome c)-lysine N-methyltransferase,2007-12-12T20:34:42Z,"<y> -12-12T20:34:42Z </y> In enzymology, a -lysine N-methyltransferase (EC 2.",2016-08-10T02:25:59Z,"<y> -09-23T07:25:42Z </y> In enzymology, a -lysine N-methyltransferase (EC 2."
(glycogen-synthase-D) phosphatase,2007-12-12T20:21:56Z,"<y> -12-12T20:21:56Z </y> In enzymology, a phosphatase (EC 3.",2016-08-10T13:25:20Z,"<y> -09-23T07:25:57Z </y> In enzymology, a phosphatase (EC 3."
(heparan sulfate)-glucosamine 3-sulfotransferase 1,2007-11-21T20:47:34Z,"<y> -11-21T20:47:34Z </y> In enzymology, a -glucosamine 3-sulfotransferase 1 (EC 2.",2019-09-23T07:26:00Z,<y> -04-14T10:28:31Z </y>  This enzyme participates in heparan sulfate biosynthesis and glycan structures - biosynthesis 1.
(hydroxymethylglutaryl-CoA reductase (NADPH))-phosphatase,2007-12-12T20:33:16Z,"<y> -12-12T20:33:16Z </y> In enzymology, a -phosphatase (EC 3.",2019-09-23T07:26:13Z,<y> -08-22T13:53:47Z </y> The enzyme -phosphatase (EC 3.
(phosphorylase) phosphatase,2007-12-12T20:17:01Z,"<y> -12-12T20:17:01Z </y> In enzymology, a phosphatase (EC 3.",2021-06-14T02:25:45Z,<y> -12-08T06:49:10Z </y> The enzyme phosphorylase a phosphatase (EC 3.
.219 Donaldson Wasp,2007-11-27T22:31:46Z,<y> -11-27T22:31:46Z </y> The .,2020-04-01T04:18:29Z,<y> -01-21T01:15:27Z </y> The .
.325 Winchester Short Magnum,2007-12-07T10:57:19Z,<y> -12-07T10:57:19Z </y> .,2021-06-23T22:40:14Z,"<y> -11-30T16:21:55Z </y>  Bullets of 180 gr or less are intended for smaller deer species such as white tail and mule deer, while those of 200 gr or more are intended for elk, moose and large bear."
.450 Bushmaster,2007-11-22T15:12:31Z,<y> -11-22T15:12:31Z </y> The .,2021-12-07T03:44:02Z,<y> -10-19T14:37:47Z </y> The .
"1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase",2007-11-13T19:15:03Z,"<y> -11-13T19:15:03Z </y> In enzymology, a <t> 1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase </t> (EC 1.",2016-05-25T05:55:00Z,"<y> -09-23T07:26:39Z </y> In enzymology, a <t> 1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase </t> (EC 1."
"1,3-Butanediol",2007-11-11T12:22:00Z,"<y> -11-11T12:22:00Z </y> Template:Chembox new <t> 1,3-Butanediol </t> is an organic chemical.",2022-08-07T08:03:37Z,"<y> -02-26T16:41:12Z </y> 1718944 (R) 1718943 (S) 2493173 (R) 1994384 (S) 1,4-Butanediol 2,3-Butanediol <t> 1,3-Butanediol </t> is an organic compound with the formula CH3CH(OH)CH2CH2OH."
"1-hydroxy-2-naphthoate 1,2-dioxygenase",2007-11-13T21:17:21Z,"<y> -11-13T21:17:21Z </y> In enzymology, a <t> 1-hydroxy-2-naphthoate 1,2-dioxygenase </t> (EC 1.",2016-03-30T19:39:17Z,"<y> -09-23T07:28:13Z </y> In enzymology, a <t> 1-hydroxy-2-naphthoate 1,2-dioxygenase </t> (EC 1."
101 Damnations (album),2008-12-05T22:05:56Z,<y> -12-05T22:05:56Z </y> 101 Damnations is the début album by Carter The Unstoppable Sex Machine; its title is a reference to 101 Dalmatians.,2022-04-18T09:01:59Z,"<y> -03-21T15:25:50Z </y>  In , the band performed their first four albums in their entireties across two shows in London, which included 101 Damnations."
10th César Awards,2007-11-01T20:42:39Z,<y> -11-01T20:42:39Z </y> The  César Awards were hosted by Simone Signoret.,2017-12-30T21:02:58Z,"<y> -02-09T06:46:52Z </y> The <t>  César Awards </t> ceremony, presented by the Académie des Arts et Techniques du Cinéma, honoured the best French films of  and took place on 3 February  at the Théâtre de l'Empire in Paris."
10th General Assembly of Prince Edward Island,2007-11-22T10:20:44Z,<y> -11-22T10:20:44Z </y> The <t>  General Assembly of Prince Edward Island </t> represented the colony of Prince Edward Island between November 3  and .,2012-07-21T21:43:13Z,"<y> -12-25T18:08:31Z </y> The <t>  General Assembly of Prince Edward Island </t> represented the colony of Prince Edward Island between November 3,  and ."
11-cis-retinyl-palmitate hydrolase,2007-12-09T20:25:43Z,"<y> -12-09T20:25:43Z </y> In enzymology, a <t> 11-cis-retinyl-palmitate hydrolase </t> (EC 3.",2016-08-10T13:05:43Z,"<y> -09-23T07:28:47Z </y> In enzymology, a <t> 11-cis-retinyl-palmitate hydrolase </t> (EC 3."
12-hydroxydihydrochelirubine 12-O-methyltransferase,2007-11-13T19:35:34Z,"<y> -11-13T19:35:34Z </y> In enzymology, a <t> 12-hydroxydihydrochelirubine 12-O-methyltransferase </t> (EC 2.",2016-08-10T02:26:25Z,"<y> -09-23T07:28:57Z </y> In enzymology, a <t> 12-hydroxydihydrochelirubine 12-O-methyltransferase </t> (EC 2."
12-oxophytodienoate reductase,2007-11-13T19:15:23Z,"<y> -11-13T19:15:23Z </y> In enzymology, a <t> 12-oxophytodienoate reductase </t> (EC 1.",2020-12-31T02:58:21Z,"<y> -12-09T01:32:57Z </y>  Because TNT is a known toxic, environmental pollutant that is difficult to degrade, the use of phytoremediation to clean up sites contaminated with TNT is of significant interest."
12th Army Aviation Brigade (Ukraine),2007-12-24T03:07:08Z,<y> -12-24T03:07:08Z </y> The 7th Army Aviation Regiment is an army aviation formation of the Ukrainian Ground Forces.,2021-12-05T03:07:53Z,<y> -12-29T13:10:26Z </y> The  Army Aviation Brigade is an army aviation formation of the Ukrainian Ground Forces.
12th Cuirassier Regiment (France),2007-11-16T21:23:36Z,"<y> -11-16T21:23:36Z </y> The  Cuirassier Regiment (French - 12e régiment de cuirassiers, 12e RC) was a French cavalry regiment, first formed in  under the Ancien Regime.",2021-10-12T11:45:28Z,"<y> -11-02T07:09:31Z </y> The  Cuirassier Regiment (French: 12e Régiment de Cuirassiers, 12e RC) is an armoured cavalry (tank) regiment of the French Army."
12th César Awards,2007-12-01T12:39:12Z,<y> -12-01T12:39:12Z </y> The  César Awards were hosted by Sean Connery.,2015-11-06T03:00:33Z,"<y> -08-23T01:56:57Z </y> The <t>  César Awards </t> ceremony, presented by the Académie des Arts et Techniques du Cinéma, honoured the best French films of  and took place on 7 March  at the Palais des Congrès in Paris."
12th General Assembly of Prince Edward Island,2007-12-26T12:12:42Z,<y> -12-26T12:12:42Z </y> The <t>  General Assembly of Prince Edward Island </t> represented the colony of Prince Edward Island between January 14  and .,2013-12-25T18:09:00Z,"<y> -09-16T15:56:20Z </y> The <t>  General Assembly of Prince Edward Island </t> represented the colony of Prince Edward Island between January 14, , and ."
13th General Assembly of Prince Edward Island,2007-12-08T12:40:42Z,<y> -12-08T12:40:42Z </y> The <t>  General Assembly of Prince Edward Island </t> represented the colony of Prince Edward Island between February 3  and .,2015-09-23T19:06:14Z,"<y> -02-12T20:36:53Z </y> The <t>  General Assembly of Prince Edward Island </t> represented the colony of Prince Edward Island between February 3, , and ."
16-alpha-hydroxyprogesterone dehydratase,2007-11-21T21:22:00Z,"<y> -11-21T21:22:00Z </y> In enzymology, a 16alpha-hydroxyprogesterone dehydratase (EC 4.",2019-09-23T07:29:33Z,"<y> -07-28T11:32:18Z </y>  Other names in common use include hydroxyprogesterone dehydroxylase, 16α-hydroxyprogesterone dehydroxylase, 16α-dehydroxylase, and 16α-hydroxyprogesterone hydro-lyase."
16-hydroxysteroid epimerase,2007-11-13T20:38:38Z,"<y> -11-13T20:38:38Z </y> In enzymology, a <t> 16-hydroxysteroid epimerase </t> (EC 5.",2016-05-12T13:35:05Z,"<y> -09-23T07:57:15Z </y> In enzymology, a <t> 16-hydroxysteroid epimerase </t> (EC 5."
1631 in poetry,2007-11-06T17:54:57Z,<y> -11-06T17:54:57Z </y> Template:Yearbox2 This year in poetry article is a stub.,2020-06-03T19:40:34Z,"<y> -03-17T19:49:05Z </y>  Death years link to the corresponding "" in poetry"" article: Birth years link to the corresponding "" in poetry"" article:"
1662 in poetry,2007-11-02T02:02:07Z,<y> -11-02T02:02:07Z </y> Template:Yearbox2 This year in poetry article is a stub.,2020-06-03T19:37:48Z,"<y> -06-27T04:13:47Z </y> Nationality words link to articles with information on the nation's poetry or literature (for instance, Irish or France)."
1672 in poetry,2007-11-02T00:36:32Z,<y> -11-02T00:36:32Z </y> Template:Yearbox2 This year in poetry article is a stub.,2021-06-27T04:14:47Z,"<y> -06-15T06:48:21Z </y> Nationality words link to articles with information on the nation's poetry or literature (for instance, Irish or France)."
16S ribosomal RNA,2007-11-20T16:00:20Z,<y> -11-20T16:00:20Z </y> The 16S rRNA is a  nt long component of the small prokaryotic ribosomal subunit (30S) and is known to interact with the 50S subunit in both P and A site.,2021-11-10T13:28:25Z,<y> -11-09T04:23:46Z </y> <t> 16S ribosomal RNA </t> (or 16S rRNA) is the RNA component of the 30S subunit of a prokaryotic ribosome (SSU rRNA).
16th General Assembly of Prince Edward Island,2007-11-22T10:18:29Z,<y> -11-22T10:18:29Z </y> The <t>  General Assembly of Prince Edward Island </t> represented the colony of Prince Edward Island between January 23  and .,2015-12-01T15:00:44Z,"<y> -03-12T21:10:20Z </y> This is the current revision of this page, as edited by Tassedethe (talk | contribs) at 21:10, 12 March ."
180 mm gun S-23,2007-12-09T14:03:52Z,<y> -12-09T14:03:52Z </y> <t> 180 mm gun S-23 </t> (Russian: 180-мм пушка С-23) was a Soviet heavy gun of Cold War era.,2021-07-30T01:37:59Z,<y> -11-25T20:06:55Z </y> The 180 mm gun S-23 (Russian: 180-мм пушка С-23) was a Soviet heavy gun of Cold War era.
1846 Grand National,2007-12-10T09:02:36Z,<y> -12-10T09:02:36Z </y> The <t>  Grand National </t> was the eleventh annual running of a Handicap Steeple-chase Horse race which took place at Aintree Racecourse near Liverpool on March 4th  and attracted a then record field of twenty-two runners.,2017-11-29T11:53:04Z,"<y> -03-16T20:00:57Z </y> The  Grand Liverpool Steeplechase was the eighth official annual running of a Handicap Steeple-chase, later to become known as the Grand National Steeplechase Horse race which took place at Aintree Racecourse near Liverpool on Wednesday 4 March  and attracted a then-record field of 22 entrants."
1872 Boston Red Stockings season,2007-11-16T22:27:43Z,<y> -11-16T22:27:43Z </y> The  Boston Red Stockings won the National Association Championship.,2021-11-17T13:10:14Z,<y> -12-02T23:49:51Z </y> The <t>  Boston Red Stockings season </t> was the 2nd season of the franchise.
1883 Baltimore Orioles season,2007-11-14T15:56:56Z,<y> -11-14T15:56:56Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-06-13T15:05:02Z,<y> -12-03T16:43:35Z </y> Catchers Note: Pos = Position; G = Games played; AB = At bats; H = Hits; Avg.
1885 Baltimore Orioles season,2007-11-14T15:59:30Z,<y> -11-14T15:59:30Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-07-26T03:53:06Z,<y> -11-11T19:31:43Z </y> Catchers Note: Pos = Position; G = Games played; AB = At bats; H = Hits; Avg.
1885 New York Giants season,2007-10-31T23:03:22Z,<y> -10-31T23:03:22Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-06-13T14:50:11Z,<y> -11-18T00:58:39Z </y> The <t>  New York Giants season </t> was the franchise's 3rd season.
1888 Baltimore Orioles season,2007-11-14T16:01:32Z,<y> -11-14T16:01:32Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-09-25T00:00:52Z,<y> -10-30T11:06:34Z </y> Infielders Note: Pos = Position; G = Games played; AB = At bats; H = Hits; Avg.
1888 Boston Beaneaters season,2007-11-16T22:30:15Z,<y> -11-16T22:30:15Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-10-24T03:42:36Z,<y> -10-09T20:37:29Z </y> The <t>  Boston Beaneaters season </t> was the  season of the franchise.
1888 Philadelphia Quakers season,2007-11-16T23:50:31Z,<y> -11-16T23:50:31Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2022-12-06T00:48:06Z,"<y> -03-20T16:20:01Z </y> The Phillies held spring training in Cape May, New Jersey from March 19, , to March 30, ."
1889 New York Giants season,2007-11-24T02:03:32Z,<y> -11-24T02:03:32Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-06-13T14:48:25Z,<y> -11-18T01:01:31Z </y> The <t>  New York Giants season </t> was the franchise's 7th season.
1890 New York Giants season,2007-11-24T02:03:16Z,<y> -11-24T02:03:16Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-07-07T15:08:40Z,<y> -11-13T18:44:04Z </y> The <t>  New York Giants season </t> was the franchise's 8th season.
1890 Rochester Broncos season,2007-11-15T19:33:00Z,<y> -11-15T19:33:00Z </y> The Rochester Broncos  season was the team's only season.,2020-06-13T15:22:03Z,<y> -05-18T15:49:04Z </y> The <t>  Rochester Broncos season </t> was the team's only season in Major League Baseball.
1891 Philadelphia Phillies season,2007-11-26T02:44:23Z,<y> -11-26T02:44:23Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-06-13T15:11:21Z,<y> -04-20T19:10:50Z </y> Infielders Note: Pos = Position; G = Games played; AB = At bats; H = Hits; Avg.
1892 Baltimore Orioles season,2007-11-14T16:20:13Z,"<y> -11-14T16:20:13Z </y> With the demise of the American Association, the Orioles joined the more established National League for the  season.",2020-06-13T15:15:03Z,"<y> -09-19T22:46:30Z </y> The <t>  Baltimore Orioles season </t> was the first season that the professional baseball team known as the Baltimore Orioles competed in the National League, following the demise of the American Association."
1892 New York Giants season,2007-11-24T02:02:56Z,<y> -11-24T02:02:56Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-07-10T12:08:14Z,<y> -07-27T07:28:06Z </y> The <t>  New York Giants season </t> was the tenth season of the New York Giants professional baseball franchise as members of the National League.
1893 New York Giants season,2007-11-24T02:02:47Z,<y> -11-24T02:02:47Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-06-13T15:12:03Z,<y> -07-10T12:08:45Z </y> The <t>  New York Giants season </t> was the franchise's  season.
1893 in Argentine football,2007-11-11T22:01:07Z,<y> -11-11T22:01:07Z </y> <t>  in Argentine football </t> saw the first league tournament that is currently recognised as official by the Argentine Football Association.,2022-04-10T20:59:06Z,<y> -02-04T20:26:39Z </y> <t>  in Argentine football </t> saw the first league tournament organized by current Argentine Football Association.
1894 Baltimore Orioles season,2007-12-01T20:25:24Z,<y> -12-01T20:25:24Z </y> The Orioles won their first National League pennant in  and participated in the first Temple Cup competition against the New York Giants.,2020-06-13T15:16:02Z,<y> -09-01T00:51:46Z </y> The Baltimore Orioles won their first National League pennant in .
1894 Boston Beaneaters season,2007-11-16T22:32:05Z,<y> -11-16T22:32:05Z </y> The  Boston Beaneaters had to play some of their home games at Congress Street Grounds while their normal ballpark was rebuild after burning down in a fire.,2020-08-21T05:32:14Z,<y> -12-11T20:57:50Z </y> The <t>  Boston Beaneaters season </t> was the  season of the franchise.
1894 New York Giants season,2007-11-24T02:02:35Z,<y> -11-24T02:02:35Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-07-10T12:09:16Z,<y> -10-02T01:04:20Z </y> The <t>  New York Giants season </t> was the franchise's  season.
1894 Philadelphia Phillies season,2007-11-26T02:43:59Z,<y> -11-26T02:43:59Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-06-19T06:30:06Z,<y> -10-31T02:29:12Z </y> The  baseball season was the Philadelphia Phillies'  season in the National League.
1894 in Argentine football,2007-11-11T22:01:35Z,<y> -11-11T22:01:35Z </y> <t>  in Argentine football </t> saw Lomas Athletic Club become the first team to retain the Argentine football championship.,2021-02-16T12:33:18Z,<y> -04-10T20:59:15Z </y> <t>  in Argentine football </t> saw Lomas A. C. become the first team to retain the Primera División championship.
1896 Baltimore Orioles season,2007-11-16T15:55:42Z,<y> -11-16T15:55:42Z </y> The Orioles won their third straight National League pennant in  and then defeated the Cleveland Spiders to win the Temple Cup for the first time in three attempts.,2020-06-13T15:16:03Z,<y> -05-17T22:44:24Z </y> The Baltimore Orioles won their third straight National League pennant in .
1896 Boston Beaneaters season,2007-11-16T22:32:22Z,<y> -11-16T22:32:22Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-10-17T16:04:46Z,<y> -10-31T10:46:22Z </y> The <t>  Boston Beaneaters season </t> was the  season of the franchise.
1897 Boston Beaneaters season,2007-11-16T22:32:31Z,<y> -11-16T22:32:31Z </y> The  Boston Beaneaters won their seventh National League pennant.,2020-06-13T15:18:50Z,<y> -07-05T02:06:17Z </y> The <t>  Boston Beaneaters season </t> was the  season of the franchise.
1897 Philadelphia Phillies season,2007-11-26T02:42:22Z,<y> -11-26T02:42:22Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-04-22T01:19:55Z,"<y> -07-21T03:41:51Z </y> The Phillies held spring training in  in Augusta, Georgia where the team roomed and boarded at the Arlington Hotel."
1897 in Argentine football,2007-11-11T22:02:36Z,<y> -11-11T22:02:36Z </y> <t>  in Argentine football </t> saw Lomas Athletic Club win their 4th Argentine championship in 5 seasons.,2021-02-16T13:38:10Z,<y> -04-10T20:59:38Z </y> <t>  in Argentine football </t> saw Lomas win its 4th Primera División championship within 5 seasons played.
1898 in Argentine football,2007-11-11T22:02:56Z,<y> -11-11T22:02:56Z </y> <t>  in Argentine football </t> saw Lomas Athletic Club win their 5th Argentine championship in 6 seasons.,2021-05-06T21:31:05Z,<y> -05-16T05:55:52Z </y> <t>  in Argentine football </t> saw Lomas win its 5th Primera División championship within 6 seasons.
1901 New York Giants season,2007-11-01T00:47:02Z,<y> -11-01T00:47:02Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-06-14T07:30:04Z,<y> -11-11T18:38:00Z </y> The <t>  New York Giants season </t> was the franchise's  season.
1902 Boston Beaneaters season,2007-11-16T22:33:45Z,<y> -11-16T22:33:45Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-09-03T10:57:18Z,<y> -07-05T02:11:30Z </y> The <t>  Boston Beaneaters season </t> was the  season of the franchise.
1902 Michigan Wolverines football team,2007-12-03T23:33:28Z,<y> -12-03T23:33:28Z </y> The <t>  Michigan Wolverines football team </t> represented the University of Michigan in the college football season of .,2021-12-16T03:46:12Z,<y> -05-22T16:16:00Z </y> The <t>  Michigan Wolverines football team </t> represented the University of Michigan in the  Western Conference football season.
1903 Boston Beaneaters season,2007-11-16T22:34:01Z,<y> -11-16T22:34:01Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-06-14T11:19:04Z,<y> -07-05T02:12:09Z </y> The <t>  Boston Beaneaters season </t> was the  season of the franchise.
1903 Detroit Tigers season,2007-12-01T02:57:13Z,<y> -12-01T02:57:13Z </y>  was the third year for the Detroit Tigers in the still new American League.,2021-04-20T23:54:21Z,<y> -01-18T01:43:52Z </y>  was the third year for the Detroit Tigers in the still-new American League.
1903 New York Giants season,2007-11-24T02:00:50Z,<y> -11-24T02:00:50Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-07-10T12:16:44Z,<y> -06-15T15:46:49Z </y> The <t>  New York Giants season </t> was the franchise's  season.
1904 Boston Beaneaters season,2007-11-16T22:34:14Z,<y> -11-16T22:34:14Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-11-17T13:39:45Z,<y> -04-03T04:26:11Z </y> The <t>  Boston Beaneaters season </t> was the  season of the Braves franchise.
1904 Detroit Tigers season,2007-12-01T02:57:03Z,<y> -12-01T02:57:03Z </y>  was the fourth year for the Detroit Tigers in the American League.,2021-05-20T22:27:46Z,<y> -11-01T10:33:37Z </y>  was the fourth year for the Detroit Tigers in the American League.
1904 in Argentine football,2007-11-12T11:08:34Z,<y> -11-12T11:08:34Z </y> <t>  in Argentine football </t> saw Belgrano Athletic win the Argentine championship ending a run of four consecutive championships for Alumni Athletic Club.,2022-04-10T21:01:34Z,<y> -02-04T20:10:27Z </y> <t>  in Argentine football </t> saw Belgrano A. C. winning the Argentine championship ending a run of four consecutive titles for Alumni.
1905 New York Giants season,2007-11-24T02:00:28Z,<y> -11-24T02:00:28Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-07-10T12:19:41Z,"<y> -06-15T15:43:10Z </y> The <t>  New York Giants season </t> was the franchise's  season, and the team won their second consecutive National League pennant."
1906 Boston Beaneaters season,2007-11-16T23:25:30Z,<y> -11-16T23:25:30Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-06-15T13:39:16Z,<y> -08-05T14:32:18Z </y> The <t>  Boston Beaneaters season </t> was the  season of the franchise.
1906 New York Giants season,2007-11-24T02:00:18Z,<y> -11-24T02:00:18Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2020-06-14T07:30:06Z,<y> -07-10T12:20:05Z </y> The <t>  New York Giants season </t> was the franchise's  season.
1907 Detroit Tigers season,2007-12-17T17:41:53Z,"<y> -12-17T17:41:53Z </y> The  Detroit Tigers won the American League pennant with a record of 92-58, but lost to the Chicago Cubs in the  World Series, four games to none (with one tie).",2021-11-26T15:58:02Z,"<y> -10-15T20:24:39Z </y>  With pitching dominance over the Tigers and Cobb, the Cubs allowed only three runs in the four games they won, while stealing 18 bases off the rattled Tigers."
1907 in Argentine football,2007-11-12T11:09:37Z,<y> -11-12T11:09:37Z </y> <t>  in Argentine football </t> saw Alumni Athletic Club regain the Argentine championship their third in a row and their 7th championship in eight seasons.,2022-04-10T21:02:11Z,<y> -02-04T19:43:34Z </y> <t>  in Argentine football </t> saw Alumni regain the Argentine championship winning its 7th Primera División (First Division) title in eight seasons.
1909 Boston Doves season,2007-11-16T23:26:47Z,<y> -11-16T23:26:47Z </y> Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-11-27T17:37:06Z,"<y> -07-08T23:17:45Z </y> This is the current revision of this page, as edited by RedsRock (talk | contribs) at 23:17, 8 July ."
1909 Philadelphia Phillies season,2007-11-26T02:39:12Z,<y> -11-26T02:39:12Z </y> Infielders Outfielders Manager Note: G = Games played; AB = At Bats; H = Hits; Avg.,2021-04-22T12:40:43Z,<y> -05-14T16:00:07Z </y> The following lists the events of the <t>  Philadelphia Phillies season </t>.
1910 in Argentine football,2007-11-12T11:10:40Z,"<y> -11-12T11:10:40Z </y> <t>  in Argentine football </t> saw Alumni regain the championship, their 9th title in 11 seasons.",2020-06-18T23:38:25Z,"<y> -04-10T21:02:49Z </y> <t>  in Argentine football </t> saw Alumni regain the championship, winning its 9th title in 11 seasons."
1911 Detroit Tigers season,2007-12-01T02:55:29Z,"<y> -12-01T02:55:29Z </y> The  Detroit Tigers had a record of 82-72 and finished in second place in the American League, 13-1/2 games behind the Philadelphia Athletics.",2020-12-21T02:47:33Z,"<y> -12-24T08:33:23Z </y> The  Detroit Tigers had a record of 89–65 and finished in second place in the American League, 131⁄2 games behind the Philadelphia Athletics."
