title,timestamp_first,timestamp_end,def_first,def_end,label
Nedumudi Venu,2021-10-10T21:03:06Z,2021-10-29T09:01:53Z,"Kesavan Venugopal (born 22 May 1948), known popularly by his stage name Nedumudi Venu, is an Indian film actor from Kerala, who predominantly works in the Malayalam Cinema.","Kesavan Venugopal (22 May 1948 – 11 October 2021), better known by his stage name Nedumudi Venu, was an Indian actor and screenwriter from Kerala, who predominantly worked in Malayalam cinema.",1
Natalia Cruz,2021-10-09T12:22:17Z,2021-10-20T20:27:30Z,"Natalia Andrea is a Colombian journalist and news anchor in the United States, three time Emmy Award winner, news anchor for ""Mega News"" on Mega TV and ""TV Realtor"" at Real Estate TV show ""Esta Es Tu Casa"" on Mega TV network, previously affiliated to Univision Network, and the show Primer Impacto.","Natalia Andrea is a Colombian journalist and news anchor in the United States, three time Emmy Award winner, news anchor for ""Mega News"" on Mega TV and ""TV Realtor"" at Real Estate TV show ""Esta Es Tu Casa"" on Mega TV network, previously affiliated to Univision Network, and the show Primer Impacto.",0
Karel Sládeček,2021-10-21T03:44:17Z,2021-10-27T18:32:41Z,Karel Sládeček is a Czech politician for the Freedom and Direct Democracy (SPD) party.,Sládeček is a Czech politician for the Freedom and Direct Democracy (SPD) party.,0
Janine Wissler,2021-10-03T01:39:58Z,2021-10-28T05:42:38Z,Janine Wissler is a German politician who has been co-chairwoman of The Left since 2021.,Janine Wissler is a German politician who has been co-chairwoman of The Left since 2021.,0
Eastern Rukum District,2021-10-04T14:00:57Z,2021-11-01T21:09:13Z,Eastern Rukum is a mountain district of Lumbini Province of Nepal known for its 52 lakes and 53 hills.,"Eastern Rukum is a mountain district of Lumbini Province of Nepal situated along the Dhaulagiri mountain range, known for its 52 lakes and 53 hills.",1
Scoob!,2021-10-01T06:04:01Z,2021-11-01T21:41:37Z,"Scoob! is a 2020 American computer-animated mystery comedy film based on Hanna-Barbera's Scooby-Doo franchise, produced by the Warner Animation Group and distributed by Warner Bros. Pictures.","Scoob! is a 2020 American computer-animated mystery comedy film based on Hanna-Barbera's Scooby-Doo franchise, produced by the Warner Animation Group and distributed by Warner Bros. Pictures.",0
United States v. Throckmorton,2021-10-01T01:19:06Z,2021-10-28T00:32:05Z,The U.S. Supreme Court held that collateral estoppel bars untimely motions to set aside the verdict where the purportedly fraudulent evidence has already been considered and a decision reached.,The U.S. Supreme Court's decision in United States v. Throckmorton held that collateral estoppel bars untimely motions to set aside the verdict where the purportedly fraudulent evidence has already been considered and a decision reached.,1
Despicable Me 2,2021-10-01T00:42:49Z,2021-11-01T14:06:23Z,Despicable Me 2 is a 2013 American computer-animated comedy film that is the sequel to Despicable Me (2010) and the second installment in the Despicable Me franchise.,Despicable Me 2 is a 2013 American computer-animated comedy film produced by Illumination Entertainment and distributed by Universal Pictures.,0
Suzanne Jackson (artist),2021-10-30T00:01:17Z,2021-10-30T00:28:08Z,"Jackson's oeuvre includes poetry, dance, theater, costume design, paintings (both two- and three-dimensional), prints, and drawings.","Jackson's oeuvre includes poetry, dance, theater, costume design, paintings (both two- and three-dimensional), prints, and drawings.",0
Hibatullah Akhundzada,2021-10-02T17:30:59Z,2021-10-31T20:57:04Z,Hibatullah Akhundzada is an Afghan political and religious leader who currently serves as the head of the Islamic Emirate of Afghanistan.,Hibatullah Akhundzada is an Afghan political and religious leader who currently serves as the head of the Islamic Emirate of Afghanistan.,0
John Augustine Edgell,2021-10-09T08:22:57Z,2021-11-01T04:09:48Z,"John Augustine Edgell was an officer in the Royal Navy and Hydrographer of the Navy from 1932-1945, noted for his support for innovations such as echo sounding and radio navigation, for the surveying and chart production operations of his department during World War II, and for his advocacy of the science of oceanography.",John Augustine Edgell (20 December 1880 - 14 November 1962) was an officer in the Royal Navy and Hydrographer of the Navy from 1932-1945.,1
Zhan Tao,2021-10-04T19:35:16Z,2021-10-21T09:48:01Z,Zhan Tao is a Chinese mathematician and President of Jilin University.,Zhan Tao is a Chinese mathematician who served as president of Jilin University from 2008 to 2011 and president of Shandong University from 2000 to 2008.,1
Wilhelm Topps Minde,2021-10-21T15:03:14Z,2021-10-25T12:58:46Z,"Wilhelm Topps Minde is a small, early 18th-century residential building situated opposite the apse of Roskilde Cathedral in Roskilde, Denmark.","Wilhelm Topps Minde, formerly Den Langeske Stiftelse is a small Neoclassical residential building situated at the corner of Skolegade (No. 11) and Weysegangen, opposite the apse of Roskilde Cathedral, in Roskilde, Denmark.",1
Iya Gavrilova,2021-10-04T19:40:10Z,2021-10-22T16:20:00Z,"Iya Viktorovna Gavrilova (Russian: Ия Викторовна Гаврилова; born 3 September 1987) is a Russian ice hockey player, currently affiliated with the Calgary section of the Professional Women's Hockey Players Association (PWHPA).",Iya Viktorovna Gavrilova is a Russian ice hockey player who has represented Russia at the Winter Olympic Games and eleven IIHF Women's World Championships.,0
Daishen Nix,2021-10-17T11:41:52Z,2021-10-30T01:22:59Z,Daishen Nix is an American professional basketball player for the Houston Rockets of the National Basketball Association (NBA).,"Daishen Nix is an American professional basketball player for the Houston Rockets of the National Basketball Association (NBA), on a two-way contract with the Rio Grande Valley Vipers of the NBA G League.",0
Zin Wine,2021-10-09T01:14:39Z,2021-10-17T09:14:49Z,"Zin Wine is a Myanmar Academy Award winning film actor who gained popularity after starring in the films Thingyan Moe, Ma Ma Moe and Diary.","Zin Wine is a Burmese film actor who entered the film industry in 1973 and made his feature film debut in the 1981 film, Thanyawzin Sodar Shidae.",0
Isaac Lumago,2021-10-04T09:49:04Z,2021-10-27T10:40:45Z,"Isaac Lumago was a Ugandan military officer who served as chief of staff for the Uganda Army from 1977 to 1978, and later became leader of the Former Uganda National Army (FUNA).","Isaac Lumago was a Ugandan military officer who served as chief of staff for the Uganda Army from 1977 to 1978, and later became leader of the Former Uganda National Army (FUNA).",0
Second Mafia War,2021-10-25T01:02:13Z,2021-10-25T01:05:41Z,The Second Mafia War was a conflict waged by the Sicilian Mafia involving thousands of homicides and resulting in a major crackdown against the Mafia.,"The Second Mafia War was a conflict waged by the Sicilian Mafia involving thousands of homicides, violence against the state, and a major crackdown against the Mafia.",0
Colin Jones (boxer),2021-10-12T12:38:51Z,2021-10-12T12:40:29Z,Colin Jones was one of the hardest punching welterweights of his generation and his ability to knock fighters out with a single shot (with either hand) allowed him the luxury of being a notoriously slow starter.,Colin Jones was one of the hardest punching welterweights of his generation and his ability to knock fighters out with a single shot (with either hand) allowed him the luxury of being a notoriously slow starter.,0
Sage Steele,2021-10-04T19:03:26Z,2021-10-19T04:16:48Z,"Sage Marie Steele (born November 28, 1972) is an American television anchor who is the co-host of the 12pm (ET) SportsCenter on ESPN.",Steele is an American television anchor who is the co-host of the 12pm (ET) SportsCenter on ESPN.,0
Espen Barth Eide,2021-10-14T14:48:39Z,2021-11-01T18:11:43Z,"Espen Barth Eide (born 1 May 1964, in Oslo) is a Norwegian politician and political scientist.",Espen Barth Eide is a Norwegian politician and political scientist currently serving as the Minister of Climate and the Environment in Jonas Gahr Støre's government.,1
Ndrangheta,2021-10-01T01:22:50Z,2021-10-30T02:46:42Z,The 'Ndrangheta is a prominent Italian Mafia-type organized crime syndicate based in the region of Calabria dating back to the late 18th century.,The 'Ndrangheta is a prominent Italian Mafia-type organized crime syndicate and criminal society based in the region of Calabria and dating back to the late 18th century.,0
Hartmut Geerken,2021-10-25T21:09:16Z,2021-10-28T23:00:16Z,"Hartmut Geerken is a German musician, composer, writer, journalist, playwright, and filmmaker.","Hartmut Geerken (15 January 1939 – 21 October 2021) was a German musician, composer, writer, journalist, playwright, and filmmaker.",1
Ioan Nicolae Romanescu,2021-10-18T18:03:50Z,2021-10-29T17:43:43Z,"Ioan ""Ionel"" Nicolae Romanescu was a Romanian pilot and aviation pioneer who built and flew the first glider in Romania in 1910.","Ioan ""Ionel"" Nicolae Romanescu was a Romanian pilot and aviation pioneer who built and flew the first glider in Romania in 1910.",0
German language,2021-10-04T11:58:47Z,2021-10-20T19:34:40Z,"German (Standard High German: Deutsch, pronounced (listen)) is a West Germanic language mainly spoken in Central Europe.",German is a West Germanic language mainly spoken in Central Europe.,0
Qurban (Islamic ritual sacrifice),2021-10-03T12:09:39Z,2021-10-20T06:03:49Z,Qurban is the ritual animal sacrifice of a livestock animal during a specified time of Eid al-Adha.,Qurban is the ritual animal sacrifice of a livestock animal during a specified time of Eid al-Adha.,0
Angelo Codevilla,2021-10-01T23:35:06Z,2021-10-28T23:24:25Z,Angelo M. Codevilla was an Italian-American professor of international relations at what is now the Pardee School of Global Studies at Boston University.,Angelo Maria Codevilla was an Italian-American professor of international relations at what is now the Pardee School of Global Studies at Boston University.,0
Hieronymus Bosch,2021-10-20T09:37:15Z,2021-10-28T17:05:46Z,Hieronymus Bosch was a Dutch/Netherlandish painter from Brabant known for his oil on oak wood paintings depicting religious concepts and narratives.,Hieronymus Bosch was a Dutch/Netherlandish painter from Brabant known for his oil on oak wood paintings of religious concepts and narratives.,0
Attica Scott,2021-10-12T19:14:29Z,2021-10-26T19:24:57Z,"Attica Woodson Scott (born January 30, 1972) is an American politician serving as a member of the Kentucky House of Representatives from the 41st district.","Attica Woodson Scott (born January 30, 1972) is an American politician serving as a member of the Kentucky House of Representatives from the 41st district.",0
Soony Saad,2021-10-07T18:28:02Z,2021-10-30T01:51:15Z,"Hassan ""Soony"" Ali Saad (/ˈsuːni ˈsɑːd/; Arabic: حسن ""سوني"" علي سعد, Lebanese Arabic pronunciation: ; born August 17, 1992) is a professional footballer who plays as a forward for Jordanian club Al-Wehdat and the Lebanon national team.","Hassan ""Soony"" Ali Saad is a professional footballer who plays as a forward for Jordanian club Al-Wehdat and the Lebanon national team.",0
Halloween,2021-10-02T10:02:53Z,2021-10-31T21:03:57Z,"Halloween or Hallowe'en (a contraction of ""All Hallows' evening""), also known as Allhalloween, All Hallows' Eve, or All Saints' Eve, is a celebration observed in many countries on 31 October, the eve of the Western Christian feast of All Hallows' Day. I","Halloween is a celebration observed in many countries on 31 October, the eve of the Western Christian feast of All Hallows' Day.",0
Marriott International,2021-10-06T03:44:39Z,2021-10-29T23:24:02Z,"Marriott International, Inc. is an American multinational company that operates, franchises, and licenses lodging including hotel, residential, and timeshare properties.","Marriott International, Inc. is an American multinational company that operates, franchises, and licenses lodging including hotel, residential, and timeshare properties.",0
Paddy Moloney,2021-10-12T11:59:00Z,2021-11-01T14:20:20Z,"Paddy Moloney was an Irish musician, composer, and producer who is the founder and leader of the Irish musical group The Chieftains and has played on every one of their albums.","Paddy Moloney (Irish: Pádraig Ó Maoldomhnaigh; 1 August 1938 – 12 October 2021) was an Irish musician, composer, and record producer.",1
TFI International,2021-10-18T19:28:49Z,2021-10-31T14:25:56Z,"TFI International Inc. is a Canadian transport and logistics company based in Saint-Laurent, Quebec, a borough of Montreal.","TFI International Inc. is a Canadian transport and logistics company that operates primarily in Canada, the United States, and Mexico through 4 business segments.",0
Arthur Holroyd,2021-10-05T05:36:19Z,2021-10-25T19:05:21Z,Holroyd was an Australian lawyer and politician who was a member of the New South Wales Legislative Council and Assembly.,Arthur Todd Holroyd was a lawyer and politician who was a member of the New South Wales Legislative Council and Legislative Assembly.,0
Elsie Cameron Corbett,2021-10-18T22:13:53Z,2021-10-29T18:09:49Z,"Elsie Cameron Corbett was a volunteer ambulance driver and major donor to the World War One Scottish Women’s Hospital for Foreign Service in Serbia, a prisoner of war in 1916, a JP, a leading suffragist, temperance supporter and folklorist and diarist.","Elsie Cameron Corbett was a volunteer ambulance driver and major donor to the World War One Scottish Women’s Hospital for Foreign Service in Serbia, and was awarded medals from the Serbian and British governments.",0
Natasha Lyonne,2021-10-02T19:15:32Z,2021-10-30T20:00:29Z,"Natasha Bianca Lyonne Braunstein is an American actress, director, writer, and producer.","Natasha Bianca Lyonne Braunstein is an American actress, director, writer, and producer.",0
Garrincha,2021-10-02T21:19:25Z,2021-10-27T05:13:31Z,"Manuel Francisco dos Santos (28 October 1933 – 20 January 1983), nicknamed Mané Garrincha, best known as simply Garrincha (Portuguese pronunciation: , ""little bird""), was a Brazilian professional footballer who played as a right winger.","Manuel Francisco dos Santos (28 October 1933 – 20 January 1983), nicknamed Mané Garrincha, best known as simply Garrincha (Portuguese pronunciation: , ""little bird""), was a Brazilian professional footballer who played as a right winger.",0
Jovita Moore,2021-10-29T17:05:59Z,2021-11-01T01:02:33Z,"Jovita Moore (1967 – October 28, 2021) was an African-American news anchor, who worked for WSB-TV in Atlanta, Georgia from 1998 until her death.","Jovita Moore was an American television news anchor who worked for WSB-TV in Atlanta, Georgia, from 1998 until her death.",0
Mexico,2021-10-01T12:04:02Z,2021-11-01T22:08:35Z,"Mexico is a country in the southern portion of North America bordered to the north by the United States, to the south and west by the Pacific Ocean, to the southeast by Guatemala, Belize, and the Caribbean Sea, and to the east by the Gulf of Mexico.","Mexico is a country in the southern portion of North America bordered by the United States, the Pacific Ocean, Guatemala, Belize, the Caribbean Sea, and the Gulf of Mexico.",0
Hank Aaron,2021-10-11T20:15:07Z,2021-11-01T22:06:45Z,"MLB records Henry Louis Aaron (February 5, 1934 – January 22, 2021), nicknamed ""Hammer"" or ""Hammerin' Hank"", was an American professional baseball right fielder who played 23 seasons in Major League Baseball (MLB), from 1954 through 1976.","MLB records Henry Louis Aaron (February 5, 1934 – January 22, 2021), nicknamed ""Hammer"" or ""Hammerin' Hank"", was an American professional baseball right fielder who played 23 seasons in Major League Baseball (MLB), from 1954 through 1976.",0
Ryan Martinie,2021-10-07T14:32:38Z,2021-10-20T22:32:18Z,Ryan Martinie is an American bassist best known for being the bass player of heavy metal band Mudvayne.,Ryan Martinie is an American bassist best known for being the bass player of heavy metal band Mudvayne.,0
BioNTech,2021-10-04T12:44:23Z,2021-10-25T23:27:45Z,BioNTech SE (/ˌbaɪ. ɒnˈtɛk/ BYE-on-TEK or /ˌbiː. ɒnˈtɛk/ BEE-on-TEK; short for Biopharmaceutical New Technologies) is a German biotechnology company based in Mainz that develops and manufactures active immunotherapies for patient-specific approaches to the treatment of diseases.,BioNTech SE (/ˌbiː. ɒnˈtɛk/ BEE-on-TEK or /ˌbaɪ. ɒnˈtɛk/ BYE-on-TEK; short for Biopharmaceutical New Technologies) is a German biotechnology company based in Mainz that develops and manufactures active immunotherapies for patient-specific approaches to the treatment of diseases. ,0
Pelé,2021-10-01T01:13:53Z,2021-11-01T05:21:17Z,"Edson Arantes do Nascimento (Brazilian Portuguese: ; born 23 October 1940), known as Pelé (), is a Brazilian former professional footballer who played as a forward. Regarded as one of the greatest players of all time and labelled ""the greatest"" by FIFA, he was among the most successful and popular sports figures of the 20th century.","Edson Arantes do Nascimento (Brazilian Portuguese: ; born 23 October 1940), known as Pelé (), is a Brazilian former professional footballer who played as a forward. Regarded as one of the greatest players of all time and labelled ""the greatest"" by FIFA, he was among the most successful and popular sports figures of the 20th century. I",0
Cyclone Mora,2021-10-09T06:26:16Z,2021-10-10T18:02:26Z,"Severe Cyclonic Storm Mora was a moderate but deadly tropical cyclone that caused widespread devastation and severe flooding in Sri Lanka, Andaman and Nicobar Islands, Bangladesh, Myanmar and Northeast India in May 2017.","Severe Cyclonic Storm Mora was a moderate but deadly tropical cyclone that caused widespread devastation and severe flooding in Sri Lanka, Andaman and Nicobar Islands, Bangladesh, Myanmar and Northeast India in May 2017.",0
Solomon,2021-10-01T04:30:15Z,2021-10-27T12:49:28Z,"Solomon (/ˈsɒləmən/; Hebrew: שְׁלֹמֹה, Šəlōmō) was, according to the Hebrew Bible or Old Testament, a fabulously wealthy and wise king of the United Kingdom of Israel who succeeded his father, King David.","Solomon (/ˈsɒləmən/; Hebrew: שְׁלֹמֹה, Šəlōmō), also called Jedidiah (Hebrew יְדִידְיָהּ‎ Yəḏīḏəyāh), was, according to the Hebrew Bible or Old Testament, a fabulously wealthy and wise king of the United Kingdom of Israel who succeeded his father, David.",0
Nadia Comăneci,2021-10-16T18:09:43Z,2021-10-16T18:11:39Z,"Nadia Elena Comăneci Conner (born November 12, 1961), known professionally as Nadia Comăneci (UK: /ˌkɒməˈnɛtʃ(i)/, US: /ˈkoʊməniːtʃ, ˌkoʊməˈniːtʃ/, Romanian: (listen)), is a Romanian, retired gymnast and a five-time Olympic gold medalist, all in individual events.","Nadia Elena Comăneci Conner (born November 12, 1961), known professionally as Nadia Comăneci (UK: /ˌkɒməˈnɛtʃ(i)/, US: /ˈkoʊməniːtʃ, ˌkoʊməˈniːtʃ/, Romanian: (listen)), is a Romanian, retired gymnast and a five-time Olympic gold medalist, all in individual events.",0
Whitney Wolfe Herd,2021-10-04T19:45:25Z,2021-10-29T22:08:38Z,"Whitney Wolfe Herd (born July 5, 1989) is an American entrepreneur.",Whitney Wolfe Herd (born July 1989) is an American entrepreneur.,0
Taro Kono,2021-10-01T00:39:15Z,2021-11-01T04:27:31Z,Taro Kono is a Japanese politician serving as the Minister for Administrative Reform and Regulatory Reform since 2020.,Kono is a Japanese politician serving as the Director of the Liberal Democratic Party Public Affairs Department since 4 October 2021.,1
Eden Shamir,2021-10-04T04:02:21Z,2021-10-24T18:11:37Z,Eden Shamir is an Israeli footballer who plays as a midfielder for Maccabi Tel Aviv.,Eden Shamir (Hebrew: עדן שמיר; born 25 June 1995) is an Israeli footballer who plays as a midfielder for Maccabi Tel Aviv.,0
Peter Jenkins (journalist),2021-10-06T20:11:50Z,2021-10-30T12:34:04Z,Peter George James Jenkins was a British journalist and Associate Editor of The Independent.,Peter George James Jenkins was a British journalist and Associate Editor of The Independent.,0
Left-wing politics,2021-10-08T21:54:03Z,2021-10-29T00:47:21Z,Left-wing politics typically involve a concern for those in society whom its adherents perceive as disadvantaged relative to others as well as a belief that there are unjustified inequalities that need to be reduced or abolished.,Left-wing politics typically involve a concern for those in society whom its adherents perceive as disadvantaged relative to others as well as a belief that there are unjustified inequalities that need to be reduced or abolished.,0
XVIII International Chopin Piano Competition,2021-10-03T10:36:03Z,2021-10-30T09:57:11Z,The XVIII International Chopin Piano Competition will be held from 2 to 23 October 2021 in Warsaw.,The XVIII International Chopin Piano Competition was held from 2 to 23 October 2021 in Warsaw and 87 pianists from 18 countries took part in the main stage of the competition.,1
Ivan Bartoš,2021-10-06T17:38:15Z,2021-10-27T13:48:51Z,"Ivan Bartoš is a Czech software architect, civil rights activist, politician and a member of the Chamber of Deputies of the Czech Republic since October 2017.","Ivan Bartoš is a Czech software architect, civil rights activist, politician and a member of the Chamber of Deputies of the Czech Republic since October 2017.",0
São Paulo FC,2021-10-02T11:48:50Z,2021-10-30T21:44:28Z,"São Paulo Futebol Clube is a professional football club in the Morumbi district of São Paulo, Brazil, founded in 1930.","São Paulo Futebol Clube is a professional football club in the Morumbi district of São Paulo, Brazil, founded in 1930.",0
Artemis program,2021-10-01T03:34:59Z,2021-10-28T16:27:45Z,The Artemis Program is a United States-led international human spaceflight program.,The Artemis program is a United States-led international human spaceflight program.,0
Felix Mlusu,2021-10-17T15:31:05Z,2021-10-27T11:53:04Z,Felix Mlusu is a Malawian financial services executive currently serving as Minister of Finance in the Government of the Republic of Malawi.,Felix Mlusu (born 23 March 1951) is a Malawian Chartered Insurer and financial services executive currently serving as Minister of Finance in the Government of the Republic of Malawi.,0
Critical Role,2021-10-01T10:36:52Z,2021-11-01T22:03:56Z,Critical Role is an American web series in which a group of professional voice actors play Dungeons & Dragons.,Critical Role is an American web series in which a group of professional voice actors play Dungeons & Dragons.,0
Radek Koten,2021-10-20T02:27:11Z,2021-10-27T13:00:06Z,Koten was a soldier and a member of the Border Guard (Pohraniční služba) in the 1980s who were tasked with guarding the the Iron Curtain on the Czechoslovakian border.,Koten was a soldier and a member of the Border Guard (Pohraniční služba) in the 1980s who were tasked with guarding the the Iron Curtain on the Czechoslovakian border.,0
Grand Theft Auto,2021-10-02T17:23:09Z,2021-10-31T13:19:46Z,"Grand Theft Auto (GTA) is a series of action-adventure games focusing on an open world where the player can complete missions to progress an overall story, as well as engage in various side activities.","Grand Theft Auto (GTA) is a series of action-adventure games focusing on an open world where the player can complete missions to progress an overall story, as well as engage in various side activities.",0
Sergi Barjuán,2021-10-28T03:47:52Z,2021-10-31T17:34:56Z,"Sergi Barjuán Esclusa (Catalan: , Spanish: ; born 28 December 1971), known simply as Sergi, is a Spanish retired footballer who played as a left back.","Sergi Barjuán Esclusa is a Spanish former professional footballer who played as a left-back, and is the manager of Barcelona B and interim manager of Barcelona, known for his major contribution to the winning of nine major titles.",1
Marte Mjøs Persen,2021-10-04T02:41:34Z,2021-10-27T14:24:26Z,Marte Mjøs Persen (born 24 April 1975) is a Norwegian politician.,Marte Mjøs Persen is a Norwegian politician who has served as mayor in Bergen from 2015 until she was elected a member of the Storting in 2021 and as minister of petroleum and energy since 2021.,1
Jonathan de Guzmán,2021-10-03T22:19:00Z,2021-10-21T19:13:36Z,Jonathan Alexander de Guzmán is a Dutch professional footballer who plays as a midfielder for Greek club OFI.,Jonathan Alexander de Guzmán is a Dutch professional footballer who plays as a midfielder for Greek Super League club OFI.,0
E. W. Scripps Company,2021-10-02T00:48:45Z,2021-10-25T17:01:34Z,"The E. W. Scripps Company is an American broadcasting company founded in 1878 as a chain of daily newspapers by Edward Willis ""E. W. "" Scripps and his sister, Ellen Browning Scripps.","The E. W. Scripps Company is an American broadcasting company founded in 1878 as a chain of daily newspapers by Edward Willis ""E. W. "" Scripps and his sister, Ellen Browning Scripps.",0
B. L. Coombes,2021-10-18T12:06:14Z,2021-10-29T09:59:44Z,Bert Lewis Coombes (1893 – 1974) was an English-born writer who spent most of his working life in the coal mines of the South Wales coalfield.,Bert Lewis Coombes (1893 – 1974) was an English-born writer who spent most of his working life in the coal mines of the South Wales coalfield.,0
James LaBrie,2021-10-15T20:09:01Z,2021-10-26T19:46:36Z,Kevin James LaBrie is a Canadian singer and songwriter best known as the lead singer of American progressive metal band Dream Theater since 1991.,"Kevin James LaBrie is a Canadian singer and songwriter best known as the lead singer of American progressive metal band Dream Theater, which he has been fronting since 1991.",0
Paramount Domestic Television,2021-10-03T00:11:34Z,2021-10-11T03:25:59Z,"Paramount Domestic Television was formed in 1982 as the successor to Paramount Television Domestic Distribution, Paramount Television Sales, and Desilu Sales, initially distributing the back library of Paramount Television and the post-1960 shows by Desilu, and several first-run syndicated shows.","Paramount Domestic Television (PDT) was the television distribution arm of American television production company Paramount Television, once the TV arm of Paramount Pictures.",0
Endell Street,2021-10-11T18:04:03Z,2021-10-14T17:02:27Z,"Endell Street is a street in London's West End that runs from High Holborn in the north to Long Acre and Bow Street, Covent Garden, in the south.","Endell Street is a street in London's West End that runs from High Holborn in the north to Long Acre and Bow Street, Covent Garden, in the south.",0
Alex Saab,2021-10-03T08:29:47Z,2021-11-01T23:24:19Z,Alex Nain Saab Morán (Arabic: أليكس صعب; born 21 December 1971) is a Colombian-born businessman of Lebanese descent mentioned in the Panama Papers.,Alex Nain Saab Morán (Arabic: أليكس صعب; born 21 December 1971) is a Colombian businessman of Lebanese descent,0
Martha Henry,2021-10-18T02:59:52Z,2021-10-29T12:17:45Z,"Martha Henry is an American-born Canadian stage, film, and television actress.","Martha Kathleen Henry CC OOnt (née Buhs; February 17, 1938 – October 21, 2021) was an American-born Canadian stage, film, and television actress.",1
Luka Garza,2021-10-01T18:52:40Z,2021-10-27T23:58:17Z,Luka H. Garza is an American professional basketball player for the Detroit Pistons of the National Basketball Association (NBA).,Luka Garza is an American professional basketball player for the Detroit Pistons of the National Basketball Association (NBA).,0
Chengdu,2021-10-04T01:20:26Z,2021-10-30T10:24:58Z,Chengdu is a sub-provincial city which serves as the capital of the Chinese province of Sichuan.,Chengdu is a sub-provincial city which serves as the capital of the Chinese province of Sichuan.,0
Concord Point Light,2021-10-24T03:05:58Z,2021-10-24T16:03:55Z,"Concord Point Light is a 36-foot (11 m) lighthouse in Havre de Grace, Maryland, United States, currently listed as a private aid to navigation.","Concord Point Light is a 36-foot (11 m) lighthouse in Havre de Grace, Maryland, United States, overlooking the point where the Susquehanna River flows into the Chesapeake Bay.",1
