title,timestamp_first,timestamp_end,def_first,def_end,label,comment
Jean Fleming (environmentalist),2021-09-08T10:31:15Z,2021-09-11T17:20:45Z,"Jean Fleming is a Professor Emerita in Science Communication, reproductive biologist, science communication advocate and environmentalist from New Zealand.","Jean Sutherland Fleming is a New Zealand reproductive biologist, science communication advocate and environmentalist.",0,
Magi Dodd,2021-09-23T10:33:42Z,2021-10-01T14:29:40Z,"Magi Dodd was a Welsh radio presenter and producer best known for her work at BBC Radio Cymru, hosting the flagship 8-10pm slot on weeknights, producing shows for the Welsh language radio network, co-presenting Radio Cymru's pop quiz for Welsh-medium schools, and providing radio commentary for the annual Cân i Gymru song contest.",Magi Dodd was a Welsh radio presenter and producer best known for her work at BBC Radio Cymru.,0,
Krista Fischer,2021-09-07T19:51:15Z,2021-09-09T02:00:54Z,"Krista Fischer is an Estonian biostatistician whose research focuses on body mass, genetic variability and their association with diseases.","Krista Fischer is an Estonian biostatistician who studies body mass, genetic variability, and their connection to diseases.",0,
Crown Princess Gonghoe,2021-09-03T08:30:45Z,2021-09-28T01:39:51Z,Crown Princess Gonghoe of the Musong Yun clan was chosen to be the wife of Crown Prince Sunhoe.,"Crown Princess Gonghoe of the Musong Yun clan, also known as Yun Gonghoe-bin, was born in 1552 and chosen to be the consort of Crown Prince Sunhoe in 1563.",0,
Altai people,2021-09-15T16:11:19Z,2021-09-25T00:27:28Z,"The Altai people are a Turkic ethnic group of indigenous peoples of Siberia living in the Altai Republic and Altai Krai, Russia.","The Altai people are a Turkic ethnic group of indigenous peoples of Siberia living in the Altai Republic and Altai Krai, Russia, Mongolia and China.",0,
Charlotte Transportation Center,2021-09-14T23:52:17Z,2021-09-28T22:19:47Z,"The Charlotte Transportation Center (CTC) is an intermodal transit station in Center City Charlotte, North Carolina, United States, which serves as the central hub for the Charlotte Area Transit System (CATS) buses and connects with the LYNX Blue Line and CityLYNX Gold Line.",The Charlotte Transportation Center (CTC) serves as the central hub for the Charlotte Area Transit System (CATS) buses and connects with the LYNX Blue Line and CityLYNX Gold Line.,1,
"Hobbs, New Mexico",2021-09-23T03:23:19Z,2021-09-23T03:23:45Z,"Hobbs is a city in Lea County, New Mexico, United States.","Hobbs is a city in Lea County, New Mexico, United States.",0,
Eleanora Armitage,2021-09-21T11:30:07Z,2021-09-21T21:21:21Z,"Eleanora Armitage was a British bryologist who was a founding member of the Moss Exchange Club, the British Ecological Society and the British Bryological Society, and served as president of the latter organization in 1939.","Eleanora Armitage was a British bryologist, a founding member of the Moss Exchange Club, the British Ecological Society, and the British Bryological Society, and the president of the British Bryological Society in 1939.",0,
Polish people,2021-09-01T18:45:00Z,2021-10-01T15:57:45Z,"The Poles are a West Slavic ethnic group and nation who share a common history, culture, and language, and are identified with the country of Poland in Central Europe.","The Poles, or Polish people, are a nation and an ethnic group of predominantly West Slavic descent, who share a common history, culture, the Polish language and are identified with the country of Poland in Central Europe.",0,
Wieke Paulusma,2021-09-05T15:40:42Z,2021-09-06T21:39:58Z,Paulusma is a Dutch health professional and politician for the social liberal party Democrats 66 (D66).,Wieke Paulusma is a Dutch health professional and politician for the social liberal party Democrats 66 (D66) who has been a member of the House of Representatives since the 2021 general election.,1,
Menudo (group),2021-09-04T01:41:47Z,2021-09-30T18:40:34Z,"Menudo was a Puerto Rican, Latino boy band formed in 1977 by producer Edgardo Díaz, achieving much success and selling some 20 million records worldwide.","Menudo was a Puerto Rican, Latino boy band formed in 1977 by producer Edgardo Díaz, and was the most popular Latin American teen musical group of the era, selling some 20 million records worldwide.",0,
Jones and His New Neighbors,2021-09-12T01:33:39Z,2021-09-13T18:09:35Z,"""Jones and His New Neighbors"" is a 1909 American silent comedy film written by Frank E. Woods and directed by D. W. Griffith, produced by the American Mutoscope and Biograph Company in New York City and starring John R. Cumpson, Florence Lawrence, and Anita Hendrie.","""Jones and His New Neighbors is a 1909 American silent comedy film written by Frank E. Woods and directed by D. W. Griffith.""",0,
Asmaa Rhlalou,2021-09-27T04:45:41Z,2021-09-30T02:31:59Z,Asmaa Rhlalou is a Moroccan journalist and politician who was elected as the mayor of the Moroccan capital Rabat by the municipal council in September 2021.,Asmaa Rhlalou is a Moroccan journalist and politician of the National Rally of Independents (RNI) who was elected into the Moroccan Parliament for the term 2016 to 2021.,1,
The Matrix Resurrections,2021-09-01T00:40:13Z,2021-10-01T17:14:05Z,"The Matrix: Resurrections is an upcoming American science fiction action film produced, co-written, and directed by Lana Wachowski.","The Matrix Resurrections is an upcoming American science fiction action film produced, co-written, and directed by Lana Wachowski, and is the sequel to The Matrix Revolutions (2003) and the fourth installment in The Matrix film series.",0,
Lucy Shepard Freeland,2021-09-04T11:27:50Z,2021-09-05T16:12:24Z,"Freeland's book, Languages of the Sierra Miwok (1951), has been praised as ""one of the finest grammars of any California Indian language"".","Freeland's Languages of the Sierra Miwok (1951) has been praised as ""one of the finest grammars of any California Indian language"".",0,
Takehiro Tomiyasu,2021-09-01T01:20:12Z,2021-09-30T20:34:16Z,Takehiro Tomiyasu is a Japanese professional footballer who plays as a centre-back or right-back for Premier League club Arsenal and the Japan national team.,Takehiro Tomiyasu is a Japanese professional footballer who plays as a centre-back or right-back for Premier League club Arsenal and the Japan national team.,0,
Emran Feroz,2021-09-04T09:03:35Z,2021-09-18T09:16:12Z,Emran Feroz is an Austrian-Afghan journalist and author who founded the virtual memorial site Drone Memorial to honor civilian victims of drone strikes.,"Emran Feroz is an Austrian-Afghan journalist and author who founded the virtual memorial site Drone Memorial to commemorate civilian victims of drone strikes, including his own family.",0,
Dropull,2021-09-02T14:44:50Z,2021-09-09T17:07:09Z,"The municipality Dropull was created in 2015 by the merger of the former municipalities Dropull i Poshtëm, Dropull i Sipërm and Pogon and is a predominantly Greek-inhabited region in Gjirokastër County, in southern Albania.","The municipality Dropull was created in 2015 by the merger of the former municipalities Dropull i Poshtëm, Dropull i Sipërm and Pogon, and is a predominantly Greek-inhabited region in Gjirokastër County, in southern Albania.",0,
Attilio Biseo,2021-09-12T21:32:44Z,2021-09-12T22:09:35Z,"Attilio Biseo was an Italian aviator, motorboat racer, and Air Force general during World War II.","Attilio Biseo was an Italian aviator, powerboat racer, Air Force general and personal pilot of Benito Mussolini during the 1930s.",1,
Clive Sinclair,2021-09-16T13:21:02Z,2021-09-29T17:22:34Z,Sinclair is an English entrepreneur and inventor most commonly known for his work in consumer electronics in the late 1970s and early 1980s.,"Sir Clive Marles Sinclair (30 July 1940 – 16 September 2021) was an English entrepreneur and inventor, best known for being a pioneer in the computing industry, and also as the founder of several companies that developed consumer electronics in the 1970s and early 1980s.",1,
Batman,2021-09-03T07:49:39Z,2021-10-01T06:07:34Z,"Batman is a superhero created by artist Bob Kane and writer Bill Finger, who first appeared in the 27th issue of the comic book Detective Comics on March 30, 1939.","Bruce Wayne is the alter-ego of Batman, a superhero created by artist Bob Kane and writer Bill Finger who first appeared in the 27th issue of the comic book Detective Comics on March 30, 1939.",0,
Georgios Kalliergis,2021-09-06T17:21:48Z,2021-09-13T16:30:31Z,Georgios Kalliergis was a Greek-Byzantine painter known for his iconography and hagiography.,"Georgios Kalliergis was a Greek-Byzantine painter associated with Mount Athos, Veria, and Thessaloniki, and part of the Macedonian School of painting.",1,
Cars 3,2021-09-04T08:42:05Z,2021-09-27T11:14:58Z,Cars 3 is a 2017 American computer-animated comedy-adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures.,Cars 3 is a 2017 American computer-animated comedy-adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures.,0,
Rawy Torres,2021-09-25T11:17:03Z,2021-09-30T04:27:56Z,"Wilson ""Rawy"" Torres is a Puerto Rican singer, composer, and guitarist.","Rawy Torres is a Puerto Rican singer, composer, and guitarist who was a member of the boy band Menudo.",1,
Vinícius Gonçalves Rodrigues,2021-09-18T09:56:37Z,2021-09-18T10:21:59Z,Vinicius Gonçalves Rodrigues is a Brazilian Paralympic athlete who won a silver medal in the men's 100 metres T63 event at the 2020 Summer Paralympics and set a new T63 Paralympic record of 12.05 seconds.,"Vinícius Gonçalves Rodrigues is a Brazilian Paralympic athlete who won the silver medal in the men's 100 metres T63 event at the 2020 Summer Paralympics held in Tokyo, Japan.",0,
Oneflare,2021-09-03T21:57:35Z,2021-09-09T03:34:29Z,Oneflare is an Australian online marketplace that connects customers and businesses.,"Oneflare is an Australian online marketplace that connects customers and businesses, offering over 150 service categories.",0,
Ingeborg Raunkiær,2021-09-27T19:24:12Z,2021-09-29T16:51:47Z,"Ingeborg Marie Raunkiær (pen name Box) was a Danish writer who contributed articles to magazines and newspapers, often humorous and satirical.","Ingeborg Marie Raunkiær née Andersen, pen name Box, (1863–1921) was a Danish writer who published books and contributed articles to magazines and newspapers.",0,
Yardena Samuels,2021-09-20T19:42:24Z,2021-09-29T01:42:40Z,"Yardena Samuels is an Israeli Molecular Biologist and the Director of the Ekard Institute for Cancer Diagnosis Research at the Weizmann Institute of Science, whose research focuses on the genetic mutations of melanoma.","Samuels is an Israeli molecular biologist and the Director of the Ekard Institute for Cancer Diagnosis Research at the Weizmann Institute of Science, whose research focuses on the genetic mutations of melanoma.",0,
Warren Hugh Wilson,2021-09-22T18:27:35Z,2021-09-27T21:39:49Z,Warren Hugh Wilson (1867 – 1937) was a contributor to rural sociology and the Country Life Movement; and a leader within the Board of Home Missions of the Presbyterian Church .,Warren Hugh Wilson was an early pioneering contributor to rural sociology and the Country Life Movement who advocated for the community to adapt and update their historical Appalachian ways to changing conditions in the region.,0,
Sidharth Shukla,2021-09-02T06:02:27Z,2021-09-28T11:46:53Z,"Sidharth Shukla is an Indian actor, host, and model who appears in Hindi television and films.","Sidharth Shukla was an Indian actor, host, and model who won the World's Best Model title in December 2005.",1,
Afruz Amighi,2021-09-21T21:27:59Z,2021-09-21T22:43:37Z,"Amighi is a sculptor and installation artist whose work has been exhibited in the United States, London, and the Middle East.",Afruz Amighi is an Iranian-born American sculptor and installation artist.,0,
Parable of the Polygons,2021-09-24T22:16:06Z,2021-09-24T22:33:44Z,"Parable of the Polygons is a 2014 explorable explanation created by Vi Hart and Nicky Case which focuses on a society of blue squares and yellow triangles which have slight personal biases against diversity, leading to social segregation.","Parable of the Polygons is an interactive blog post combining story and game elements which focuses on a society of blue squares and yellow triangles with slight personal biases against diversity, leading to social segregation based on game theorist Thomas Schelling's papers about residential segregation.",0,
Empress Sunmyeonghyo,2021-09-12T21:12:38Z,2021-09-26T19:03:54Z,"Empress Sunmyeonghyo was the first wife and Princess Consort of Crown Prince Yi Cheok, who later became the last emperor of the Korean Empire.","Empress Sunmyeonghyo was the first wife and Princess Consort of Crown Prince Yi Cheok, who later became the last emperor of the Korean Empire.",0,
Maurice Benayoun,2021-09-04T01:27:43Z,2021-09-04T01:30:15Z,"Maurice Benayoun is a French pioneer, contemporary new-media artist, curator, and theorist based in Paris and Hong Kong whose work combines video, computer graphics, immersive virtual reality, the Internet, performance, EEG, 3D Printing, large-scale urban media art, Blockchain based artworks, installations, and interactive exhibitions.","Maurice Benayoun is a French pioneer, contemporary new-media artist, curator, and theorist whose work investigates the mutations in contemporary society induced by emerging or recently adopted technologies.",0,
Tomáš Wiesner,2021-09-06T20:55:05Z,2021-09-09T21:52:43Z,Tomáš Wiesner is a Czech football player who plays for Sparta Prague and made his debut for the Czech Republic national football team on 5 September 2021.,Tomáš Wiesner is a Czech footballer who plays for Sparta Prague and made his debut for the Czech Republic national football team on 5 September 2021.,0,
Denzel Dumfries,2021-09-02T07:08:03Z,2021-09-29T03:07:55Z,Denzel Justus Morris Dumfries is a professional footballer who plays as a right-back for Serie A club Inter Milan and the Netherlands national team.,Denzel Justus Morris Dumfries (born 18 April 1996) is a Dutch professional footballer who plays as a right-back for Serie A club Inter Milan and the Netherlands national team.,0,
Dineke de Groot,2021-09-10T21:51:54Z,2021-09-11T08:02:13Z,Dineke de Groot is the current President of the Supreme Court of the Netherlands and the first female to serve in this capacity.,Dineke de Groot is the President of the Supreme Court of the Netherlands since November 2020 and is the first female to serve in the capacity.,0,
Samsung Galaxy Z Flip,2021-09-03T20:49:41Z,2021-09-07T13:08:26Z,The Samsung Galaxy Z Flip is an Android-based foldable smartphone developed by Samsung Electronics.,"The Samsung Galaxy Z Flip is a foldable smartphone developed by Samsung Electronics as part of the Samsung Galaxy Z series, constructed with an aluminum frame and an ultra-thin glass with a plastic layer and injected with a special material.",1,
The Wonderful Wizard of Oz,2021-09-01T18:06:22Z,2021-09-26T21:36:10Z,The Wonderful Wizard of Oz is an American children's novel written by author L. Frank Baum and illustrated by W. W. Denslow.,"""The Wonderful Wizard of Oz"" is an American children's novel written by L. Frank Baum and illustrated by W. W. Denslow, which tells the story of a young Kansas farm girl named Dorothy who is swept away to the magical Land of Oz by a tornado, with her pet dog Toto, and must find a way to destroy the Wicked Witch of the West in order to return home.",0,
God of War Ragnarök,2021-09-02T19:44:43Z,2021-10-01T10:15:03Z,"God of War Ragnarok is an action-adventure game set in ancient Norway and featuring series protagonists Kratos and his young son Atreus, loosely based on Norse mythology.","God of War Ragnarök is an upcoming action-adventure game developed by Santa Monica Studio and published by Sony Interactive Entertainment, set to be released in 2022 for the PlayStation 4 and PlayStation 5, loosely based on Norse mythology and covering the Ragnarök prophecy.",0,
David Komansky,2021-09-28T19:56:23Z,2021-10-01T11:58:49Z,David H. Komansky was the former chairman and CEO of Merrill Lynch & Company.,David H. Komansky was the former chairman and CEO of Merrill Lynch & Company.,0,
Artsyom Rakhmanaw,2021-09-03T18:00:41Z,2021-09-09T06:55:30Z,Rakhmanaw is a Belarusian professional footballer who plays for Rukh Brest.,Rakhmanaw is a Belarusian professional footballer who plays for Rukh Brest.,0,
Jungle Cruise (film),2021-09-01T00:54:33Z,2021-10-01T22:37:28Z,"Jungle Cruise is a 2021 American fantasy adventure film directed by Jaume Collet-Serra from a screenplay written by Glenn Ficarra, John Requa, and Michael Green, based on Walt Disney's theme park attraction of the same name.","Jungle Cruise is a 2021 American fantasy adventure film directed by Jaume Collet-Serra and written by Glenn Ficarra, John Requa, and Michael Green.",0,
Fire Emblem Awakening,2021-09-15T13:17:07Z,2021-09-25T13:05:44Z,Fire Emblem Awakening is a tactical role-playing game developed by Intelligent Systems and Nintendo SPD and published by Nintendo for the Nintendo 3DS.,Fire Emblem Awakening is a tactical role-playing game developed by Intelligent Systems and Nintendo SPD and published by Nintendo for the Nintendo 3DS.,0,
Simu Liu,2021-09-03T13:03:51Z,2021-09-29T19:02:22Z,"Simu Liu is a Canadian actor, writer, and stuntman known for his performance in Kim's Convenience, Blood and Water, and Shang-Chi and the Legend of the Ten Rings.","Simu Liu is a Canadian actor, writer, producer, and stuntman best known for portraying Shang-Chi in the 2021 Marvel Cinematic Universe (MCU) film Shang-Chi and the Legend of the Ten Rings.",0,
John Marriott (British politician),2021-09-08T07:46:29Z,2021-09-25T19:26:07Z,"Marriott was a British educationist, historian, and Conservative Member of Parliament who wrote more than forty books on British and European history and current political subjects.","Marriott was a British educationist, historian, and Conservative Member of Parliament who wrote more than forty books on British and European history and current political subjects.",0,
Russian corvette Bashkortostan,2021-09-19T06:43:58Z,2021-09-19T11:00:03Z,The MPK-228 Bashkortostan is a Parchim-class corvette of the Russian Navy developed in the German Democratic Republic for the GDR Navy.,The MPK-228 Bashkortostan is a Parchim-class corvette developed in the German Democratic Republic (GDR) by specialists from the Zelenodolsk shipyard.,0,
Queen Inseon,2021-09-05T10:22:24Z,2021-10-01T20:59:41Z,Queen Inseon was the first Joseon queen consort with the experience of living in a foreign country.,Queen Inseon was the first Joseon queen consort with the experience of living in a foreign country.,0,
Clickbait,2021-09-05T22:20:31Z,2021-09-19T23:16:49Z,"Clickbait is a text or thumbnail link designed to attract attention and entice users to follow it and view the linked content, often being deceptive, sensationalized, or misleading.","Clickbait is a form of fraud, similar to the marketing practice known as bait-and-switch.",0,
Karen Brucks,2021-09-25T21:24:57Z,2021-09-30T17:09:52Z,"Karen Marie Brucks (February 1, 1957 – July 8, 2017) was an American mathematician known for her research on one-dimensional dynamical systems, and for her advocacy of women in mathematics.",Karen Marie Brucks was an American mathematician known for her research in topological dynamics and advocacy of women in mathematics.,0,
Albert Camus,2021-09-02T10:27:53Z,2021-09-28T20:00:50Z,"Albert Camus was a French philosopher, author, and journalist who was awarded the 1957 Nobel Prize in Literature.","Albert Camus was a French philosopher, author, and journalist who was awarded the 1957 Nobel Prize in Literature.",0,
Queen Inheon,2021-09-10T08:20:00Z,2021-09-10T08:46:03Z,"Queen Inheon of the Neungseong Gu clan (인헌왕후, 仁獻后; 23 May 1578 – 10 February 1626) was a Korean Royal Family member though her marriage with Prince Jeongwon of Joseon and became the biological mother of King Injo of Joseon.","Queen Inheon of the Neungseong Gu clan (인헌왕후, 仁獻后; 23 May 1578 – 10 February 1626) was a Korean Royal Family member though her marriage with Prince Jeongwon of Joseon and became the biological mother of King Injo of Joseon.",0,
Anuk Arudpragasam,2021-09-07T06:52:42Z,2021-09-25T16:53:18Z,"Arudpragasam is a Sri Lankan Tamil novelist writing in English and Tamil whose debut novel, The Story of a Brief Marriage, won the DSC Prize for South Asian Literature and was shortlisted for the Dylan Thomas Prize and the German Internationaler Literaturpreis.",Anuk Arudpragasam is a Sri Lankan Tamil novelist writing in English and Tamil.,0,
Nikolai Kozyrev (diplomat),2021-09-13T20:39:29Z,2021-09-13T21:14:28Z,Nikolai Ivanovich Kozyrev was a Russian diplomat who served as a member of diplomatic staff from the 1950s and as the Soviet and later Russian ambassador to Ireland from 1991 until 1998.,Nikolai Ivanovich Kozyrev was a Russian diplomat who served as a member of diplomatic staff from the 1950s into the 1990s and as the Soviet and later Russian ambassador to Ireland from 1991 until 1998.,0,
Friedhelm Hummel,2021-09-01T07:44:06Z,2021-09-30T20:49:17Z,"Friedhelm Hummel is a German neuroscientist and neurologist who holds the Defitech Chair of Clinical Neuroengineering at EPFL, heads the Hummel Laboratory at EPFL's School of Life Sciences, and is an associate professor of clinical neuroscience at the University of Geneva.","Friedhelm Hummel (born 1969 in Laichingen, Germany) is a German neuroscientist and neurologist.",0,
Perseverance (rover),2021-09-02T18:29:08Z,2021-10-01T21:45:27Z,Perseverance is a car-sized Mars rover designed and manufactured by the Jet Propulsion Laboratory for NASA's Mars 2020 mission.,Perseverance is a car-sized Mars rover designed to explore the crater Jezero on Mars as part of NASA's Mars 2020 mission.,0,
George Longfish,2021-09-12T00:36:40Z,2021-09-15T22:08:21Z,"George Chester Longfish is a First Nations artist, professor, and museum director whose art work blends Pop art with Indigenous motifs and often features assemblage.","George Chester Longfish (born August 22, 1942) is a First Nations artist, professor, and museum director.",0,
Chuck D,2021-09-06T08:39:01Z,2021-09-18T18:27:40Z,"Chuck D is an American rapper and co-founder of the rap group Public Enemy, widely regarded as one of the most influential and important figures in hip hop.","Chuck D is an American rapper and the leader of the rap group Public Enemy, which he co-founded in 1985 with Flavor Flav.",0,
Elton John,2021-09-01T18:10:42Z,2021-09-30T15:51:32Z,"Sir Elton Hercules John is an English singer, songwriter, pianist, and composer who has sold over 300 million records, has more than fifty Top 40 hits, and has had seven consecutive number-one albums in the US.","Sir Elton Hercules John is an English singer, songwriter, pianist, and composer who has sold over 300 million records, making him one of the best-selling music artists of all time.",0,
Hermann Kinder,2021-09-10T00:24:13Z,2021-09-26T19:09:41Z,Hermann Kinder was a German writer born in Toruń who earned a degree in art history from the University of Münster and later earned a master's degree.,Hermann Kinder was a German writer born in Toruń who earned a degree in art history from the University of Münster and later a master's degree.,0,
Ryan Edmondson,2021-09-19T22:41:41Z,2021-09-19T23:32:55Z,"Ryan David Edmondson (born 20 May 2001) is an English professional footballer who plays as a striker for EFL League One side Fleetwood Town, on loan from parent club Leeds United Edmondson was born in Harrogate, North Yorkshire.","Ryan David Edmondson (born 20 May 2001) is an English professional footballer who plays as a striker for League One club Fleetwood Town, on loan from Leeds United of the Premier League.",0,
Christian IX of Denmark,2021-09-13T03:57:26Z,2021-10-01T02:33:49Z,"Christian IX was the first Danish monarch of the House of Glücksburg, chosen as heir to the Danish throne in 1852 in light of the expected extinction of the senior line of the House of Oldenburg.",Christian IX was the first Danish monarch of the House of Glücksburg who acceded to the throne in 1863 after the death of King Frederick VII.,0,
Anne Françoise Elisabeth Lange,2021-09-06T19:51:41Z,2021-09-20T06:36:21Z,"Mademoiselle Lange was a French actress of the Comédie-Française and a ""Merveilleuse"" of the French Directory.","Anne Françoise Elisabeth Lange was a French actress of the Comédie-Française and a ""Merveilleuse"" of the French Directory.",0,
