title,timestamp_first,timestamp_end,def_first,def_last,label
Luther Burbank,2021-11-14T19:38:16Z,2021-11-23T01:43:58Z," Luther Burbank (March 7, 1849 – April 11, 1926) was an American botanist, horticulturist and pioneer in agricultural science."," Luther Burbank (March 7, 1849 – April 11, 1926) was an American botanist, horticulturist and pioneer in agricultural science.",0
Timothée Chalamet,2021-11-01T21:42:29Z,2021-11-27T13:35:11Z," Timothée Hal Chalamet (born December 27, 1995) is an American actor."," Timothée Hal Chalamet (born December 27, 1995) is an American actor.",0
Richard Ransom,2021-11-04T15:45:44Z,2021-11-04T15:47:55Z," Richard K. Ransom (September 13, 1919 – April 11, 2016) was an American businessman and founder of Hickory Farms."," Richard K. Ransom (September 13, 1919 – April 11, 2016) was an American businessman and founder of Hickory Farms.",0
Ernestine Ygnacio-De Soto,2021-11-13T03:58:21Z,2021-11-23T01:47:30Z," Ernestine Ygnacio-De Soto is a Barbareño Chumash elder, she is active in documenting the language Barbareño.",Ernestine Ygnacio-De Soto (born 1938/1939) is a Barbareño Chumash elder.,0
Gabasongduo,2021-11-23T13:42:09Z,2021-11-28T15:15:42Z," Gabasongduo (Mandarin: 尕巴松多镇) is a town under the jurisdiction of Tongde County, Hainan Tibetan Autonomous Prefecture, Qinghai, China.","Gabasongduo (Mandarin: 尕巴松多镇) is a town under the jurisdiction of Tongde County, Hainan Tibetan Autonomous Prefecture, Qinghai, China.",0
Space Launch System,2021-11-02T08:13:03Z,2021-11-28T05:22:00Z,The Space Launch System (abbreviated as SLS) is an American super heavy-lift expendable launch vehicle under development by NASA since 2011.,The Space Launch System (abbreviated as SLS) is an American super heavy-lift expendable launch vehicle under development by NASA since 2011.,0
Charles H. Purcell,2021-11-13T16:10:58Z,2021-11-21T01:47:10Z,Charles Henry Purcell (27 January 1883 – 7 September 1951) was one of the most distinguished civil engineers in the United States during the 20th century.,Charles Henry Purcell (27 January 1883 – 7 September 1951) was one of the most distinguished civil engineers in the United States during the 20th century.,0
Collingwood Football Club,2021-11-01T00:47:20Z,2021-11-30T17:02:19Z," The Collingwood Football Club, nicknamed the Magpies or colloquially the Pies, is a professional Australian rules football club based in Melbourne, that was formed in 1892 in the suburb of Collingwood."," The Collingwood Football Club, nicknamed the Magpies or colloquially the Pies, is a professional Australian rules football club based in Melbourne, that was formed in 1892 in the suburb of Collingwood.",0
Heligoland Lighthouse,2021-11-07T21:03:17Z,2021-11-25T17:38:27Z," Heligoland Lighthouse (German: Leuchtturm Helgoland) is located on Germany's only offshore island, Heligoland."," Heligoland Lighthouse (German: Leuchtturm Helgoland) is located on Germany's only offshore island, Heligoland.",0
Diogo Jota,2021-11-03T11:22:10Z,2021-12-01T22:13:43Z," Diogo José Teixeira da Silva (born 4 December 1996), known as Diogo Jota, is a Portuguese professional footballer who plays as a forward for Premier League club Liverpool and the Portuguese national team."," Diogo José Teixeira da Silva (born 4 December 1996), known as Diogo Jota, is a Portuguese professional footballer who plays as a forward for Premier League club Liverpool and the Portuguese national team.",0
Lee Ungno Museum,2021-11-02T00:31:47Z,2021-11-05T17:04:45Z," The Lee Ungno Museum (Korean: 이응노미술관) is an art museum in Daejeon, South Korea.","he Lee Ungno Museum (Korean: 이응노미술관) is an art museum in Daejeon, South Korea.",0
Lou Cutell,2021-11-11T15:54:14Z,2021-11-30T08:43:11Z," Lou Cutell (born October 6, 1930) is an American film, television and theatre actor."," Lou Cutell (October 6, 1930 – November 21, 2021) was an American actor, who was perhaps best known for his appearance as ""Amazing Larry"" in the 1985 film Pee-wee's Big Adventure.",1
Manolis Hatzidakis,2021-11-10T15:31:36Z,2021-11-23T01:55:04Z," Manolis Hatzidakis (Heraklion, 1909 - Athens, 1 March 1998) was a Greek Byzantine scholar with a significant contribution to the field of Greek art history."," Manolis Hatzidakis (Greek: Μανόλης Χατζηδάκης, 1909- March 1, 1998) was a Greek Byzantinist.",0
Swiss Guard,2021-11-09T13:56:06Z,2021-11-30T15:39:20Z," The Pontifical Swiss Guard (also Papal Swiss Guard or simply Swiss Guard; Latin: Pontificia Cohors Helvetica; Italian: Guardia Svizzera Pontificia; German: Päpstliche Schweizergarde; French: Garde suisse pontificale; Romansh: Guardia svizra papala) is a minor armed forces and honour guards unit maintained by the Holy See that protects the Pope and the Apostolic Palace, serving as the de facto military of Vatican City.",The Pontifical Swiss Guard (also Papal Swiss Guard or simply Swiss Guard; Latin: Pontificia Cohors Helvetica; Italian: Guardia Svizzera Pontificia; German: Päpstliche Schweizergarde; French: Garde suisse pontificale; Romansh: Guardia svizra papala) is a minor armed force and honour guard unit maintained by the Holy See that protects the Pope and the Apostolic Palace within the territory of the Vatican City.,0
Moran Atias,2021-12-01T02:21:31Z,2021-12-01T02:23:40Z," Moran Atias (Hebrew: מורן אטיאס; born April 9, 1981) is an Israeli-American actress and model."," Moran Atias (Hebrew: מורן אטיאס; born April 9, 1981) is an Israeli-American actress and model.",0
Napalm,2021-11-01T01:55:52Z,2021-11-29T08:01:11Z," Napalm is an incendiary mixture of a gelling agent and a compatible volatile petrochemical (usually gasoline (petrol), kerosene and diesel fuel)."," Napalm is an aluminum soap used to prepare incendiary mixtures composed by the gelling agent and a compatible volatile petrochemical (usually gasoline (petrol), kerosene and diesel fuel).",1
Avery Trufelman,2021-11-04T06:38:29Z,2021-11-29T17:43:54Z,Avery Trufelman is an author and podcaster.," Avery Trufelman is an American podcaster and radio producer best known for her work on 99% Invisible (2013-2020) and its spin-off, Articles of Interest (2018–present).",1
Fascist Italy (1922–1943),2021-11-20T00:23:50Z,2021-11-30T11:47:15Z,The Kingdom of Italy was governed by the National Fascist Party from 1922 to 1943 with Benito Mussolini as prime minister.,The Kingdom of Italy was governed by the National Fascist Party from 1922 to 1943 with Benito Mussolini as prime minister.,0
James Bond,2021-11-01T02:31:55Z,2021-11-27T03:04:24Z," The James Bond series focuses on a fictional British Secret Service agent created in 1953 by writer Ian Fleming, who featured him in twelve novels and two short-story collections."," The James Bond series focuses on a fictional British Secret Service agent created in 1953 by writer Ian Fleming, who featured him in twelve novels and two short-story collections.",0
John Mayer,2021-11-08T11:15:37Z,2021-11-29T17:01:26Z," John Clayton Mayer (/ˈmeɪ. ər/ MAY-ər; born October 16, 1977) is an American singer, songwriter, guitarist, and record producer."," John Clayton Mayer (/ˈmeɪ. ər/ MAY-ər; born October 16, 1977) is an American singer, songwriter, and guitarist.",0
Bombardier Innovia APM 100 C801,2021-11-07T08:49:45Z,2021-11-18T07:09:19Z," Bombardier Innovia APM 100 C801 (APM 100, originally known as CX-100) is the first generation of an automated people mover (APM) train built by Adtranz (now Bombardier Transportation) for use on the Bukit Panjang LRT (BPLRT)."," Bombardier Innovia APM 100 C801 (APM 100, originally known as CX-100) is the first generation of an automated people mover (APM) train built by Adtranz (now Bombardier Transportation) for use on the Bukit Panjang LRT (BPLRT).",0
Harriette R. Shattuck,2021-11-08T03:19:12Z,2021-11-20T04:45:56Z," Harriette Lucy Robinson Shattuck was an American author and writer on parliamentary law, born in Lowell, Mass. , 4th December, 1850."," Harriette Lucy Robinson Shattuck (December 4, 1850 – March 24, 1937) was an American author, parliamentarian, teacher of parliamentary law, and pioneer suffragist.",1
"Brooklyn Center, Minnesota",2021-11-29T20:07:58Z,2021-11-30T22:50:28Z," Brooklyn Center is a city in Hennepin County, Minnesota, United States."," Brooklyn Center is a city in Hennepin County, Minnesota, United States.",0
Malala Yousafzai,2021-11-09T17:51:04Z,2021-11-20T22:47:19Z," Malala Yousafzai (Pashto pronunciation: Pashto: ملاله یوسفزۍ , Urdu: ملالہ یوسفزئی; born 12 July 1997), often referred to mononymously as Malala, is a Pakistani activist for female education and a Nobel Peace Prize laureate."," Malala Yousafzai (Pashto pronunciation: Pashto: ملاله یوسفزۍ , Urdu: ملالہ یوسفزئی; born 12 July 1997), often referred to mononymously as Malala, is a Pakistani activist for female education and a Nobel Peace Prize laureate.",0
Plantungan concentration camp,2021-11-02T19:51:38Z,2021-11-21T16:04:19Z,Plantungan concentration camp (Indonesian: Kamp Plantungan) was an internment camp for female political prisoners in the New Order era of Indonesian history.," Plantungan concentration camp (Indonesian: Kamp Plantungan, also called Instalasi Rehabilitasi Plantungan ""Plantungan rehabilitation installation"") was an internment camp for female political prisoners in New Order Indonesia.",0
Jørgen Haugen Sørensen,2021-11-18T15:02:37Z,2021-11-18T22:39:37Z," Jørgen Haugen Sørensen (3 October 1934, Copenhagen - 18 November 2021, Pietrasanta) is one of Denmark's most eminent sculptors.",Jørgen Haugen Sørensen (3 October 1934 – 18 November 2021) was one of Denmark's most eminent sculptors.,1
William Stebbins Barnard,2021-11-30T17:28:20Z,2021-11-30T18:11:57Z,"William Stebbins Barnard (February 28, 1849 – November 13, 1887) is/was a biologist."," William Stebbins Barnard (February 28, 1849 – November 13, 1887) was an American biologist.",0
Sunken Fossil World,2021-11-15T01:47:00Z,2021-11-24T17:07:54Z,"Touhou Gouyoku Ibun ~ Suibotsushita Chinshuu Jigoku (Japanese: 東方剛欲異聞 ～ 水没した沈愁地獄, lit. ""Strange Tale of Avarice ~ Submerged Hell of Sunken Sorrow"") is a bullet hell-platformer game numbered as the 17. 5th in the Touhou Project series.","Touhou Gouyoku Ibun ~ Suibotsushita Chinshuu Jigoku (Japanese: 東方剛欲異聞 ～ 水没した沈愁地獄, lit. ""Strange Tale of Avarice ~ Submerged Hell of Sunken Sorrow"") is a bullet hell-platformer game numbered as the 17. 5th in the Touhou Project series.",0
Polystichum drepanum,2021-11-20T17:43:31Z,2021-11-26T20:24:51Z,Lastreopsis subrecedens also known as Madeira Shield-Fern is a species of fern in the Dryopteridaceae family.," Polystichum drepanum, also known as Madeira shield-fern, is a species of fern in the Dryopteridaceae family.",0
Chinese Filipino,2021-11-08T13:43:31Z,2021-11-28T17:38:13Z," Chinese Filipinos (sometimes referred to in the Philippines as Filipino Chinese) are Filipinos of Chinese descent, mostly of Hoklo (Hokkien) ancestry, where the majority are born and raised in the Philippines."," Chinese Filipinos (sometimes referred to in the Philippines as Filipino Chinese) are Filipinos of Chinese descent, mostly of Hoklo (Hokkien) ancestry, where the majority are born and raised in the Philippines.",0
Hierodoris eremita,2021-11-12T23:24:54Z,2021-11-13T22:05:09Z,Hierodoris eremita is a moth of the family Oecophoridae.,Hierodoris eremita is a moth of the family Oecophoridae.,0
Abdul Wahab Dalimunthe,2021-11-08T13:41:27Z,2021-11-13T10:29:30Z,Abdul Wahab Dalimunthe (10 January 1939 – 8 November 2021) was an Indonesia bureaucrat and politician.,Abdul Wahab Dalimunthe (10 January 1939 – 8 November 2021) was an Indonesian bureaucrat and politician.,0
Andrew Leith Adams,2021-11-25T00:32:11Z,2021-11-25T01:01:12Z," Andrew Leith Adams FRSE, FRS (21 March 1827 – 29 July 1882) was a Scottish physician, naturalist and geologist."," Andrew Leith Adams FRSE, FRS (21 March 1827 – 29 July 1882) was a Scottish physician, naturalist and geologist.",0
Ángel Martín (actor),2021-11-19T12:05:51Z,2021-11-24T22:36:16Z," Ángel Martín Gómez (Barcelona, October 5, 1977) is a Spanish actor, TV presenter, comedian and screenwriter."," Ángel Martín Gómez (Barcelona, October 5, 1977) is a Spanish actor, TV presenter, comedian and screenwriter.",0
DaniLeigh,2021-11-04T00:47:00Z,2021-11-30T17:22:27Z," Danielle Leigh Curiel (born December 20, 1994), known professionally as DaniLeigh, is a Dominican American singer, songwriter, rapper, dancer, and choreographer."," Danielle Leigh Curiel (born December 20, 1994), known professionally as DaniLeigh, is an American singer, songwriter, rapper, dancer, and choreographer.",0
Aron Winter,2021-11-26T15:50:41Z,2021-11-26T18:13:19Z,Aron Mohamed Winter (Dutch pronunciation: ; born 1 March 1967) is a Dutch former professional football midfielder.,Aron Winter (born 1 March 1967) is a Dutch former professional football midfielder.,0
Mystery Case Files,2021-11-05T08:21:59Z,2021-11-28T23:14:45Z,Mystery Case Files (also known as MCF) is a video game series originally developed by the internal studios of Big Fish Games.,Mystery Case Files (also known as MCF) is a video game series originally developed by the internal studios of Big Fish Games.,0
Tartuffe,2021-11-01T15:25:50Z,2021-11-19T01:55:26Z," Tartuffe, or The Impostor, or The Hypocrite (/tɑːrˈtʊf, -ˈtuːf/; French: Tartuffe, ou l'Imposteur, pronounced ), first performed in 1664, is a theatrical comedy by Molière."," Tartuffe, or The Impostor, or The Hypocrite (/tɑːrˈtʊf, -ˈtuːf/; French: Tartuffe, ou l'Imposteur, pronounced ), first performed in 1664, is a theatrical comedy by Molière.",0
Luiz Sá,2021-11-06T21:46:24Z,2021-11-22T18:03:08Z," Luiz Sá (Fortaleza, September 28th, 1907 - Niterói, 1979) was a Brazilian comic book artist, caricaturist, illustrator, painter, scenographer and publicist."," Luiz Sá (Fortaleza, September 28th, 1907 - Niterói, 1979) was a Brazilian comic book artist, caricaturist, illustrator, painter, scenographer and publicist.",0
Slide Hampton,2021-11-21T01:16:49Z,2021-11-29T23:19:40Z," Locksley Wellington ""Slide"" Hampton (born April 21, 1932) was an American jazz trombonist, composer and arranger."," Locksley Wellington Hampton (April 21, 1932 – November 18, 2021) was an American jazz trombonist, composer and arranger.",0
Jack Unterweger,2021-11-11T00:43:51Z,2021-11-28T16:53:34Z," Johann ""Jack"" Unterweger (16 August 1950 – 29 June 1994) was an Austrian serial killer who committed murder in several countries – West Germany, Austria, Czechoslovakia, and the United States."," Johann ""Jack"" Unterweger (16 August 1950  – 29 June 1994) was an Austrian serial killer who committed murder in several countries – Austria, West Germany, Czechoslovakia, and the United States.",0
Alireza Akhondi,2021-11-26T13:42:35Z,2021-11-30T19:53:44Z,"Alireza Akhondi, born September 20, 1980 in Tehran, Iran, is a Swedish politician (Center Party)."," Alireza Akhondi (born September 20, 1980 in Tehran, Iran) is a Swedish politician for the Center Party.",0
Eagle catching Fish,2021-11-15T20:55:17Z,2021-11-24T09:47:45Z,Eagle catching Fish or Eagle catching Ichthys (German: Adler fängt Fisch or Adler fängt Ichthys) is a German anti-christian and neo-pagan symbol.,Eagle catching Fish or Eagle catching Ichthys (German: Adler fängt Fisch or Adler fängt Ichthys) is a German anti-Christian and neo-pagan symbol.,0
Gennady Muravin,2021-11-19T09:02:45Z,2021-11-29T02:19:49Z," Gennady Muravin (14 May 1931, Belgorod, Soviet Union — 8 November 2021, Helsinki, Finland) was a Russian translator, journalist and artist, who lived and worked mostly in Estonia and Finland."," Gennady L’vovich Muravin (Геннадий Львович Муравин; 14 May 1931 – 8 November 2021) was a Russian translator, journalist and artist, who lived and worked mostly in Estonia and Finland.",0
John Lee Tae-seok,2021-11-05T17:06:55Z,2021-11-13T09:29:47Z," Fr John Lee Tae-seok was a South Korean Catholic priest, doctor and conductor."," Father John Lee Tae-seok (October 17, 1962 – January 14, 2010) was a South Korean Catholic missionary priest, teacher, architect, doctor, and brass band conductor.",0
Eyal Golasa,2021-11-03T23:34:35Z,2021-11-24T14:50:10Z," Eyal Golasa (or Golsa, Hebrew: אייל גולסה; born 7 October 1991) is an Israeli professional footballer who plays as a midfielder for Maccabi Tel Aviv."," Eyal Golasa (or Golsa, Hebrew: אייל גולסה; born 7 October 1991) is an Israeli professional footballer who plays as a midfielder for Maccabi Tel Aviv.",0
James Devereux Hustler,2021-11-05T13:44:49Z,2021-11-25T21:11:42Z,James Devereux Hustler (1784–1849) was an English cleric and academic.,James Devereux Hustler (1784–1849) was an English cleric and academic.,0
Knight or Dame of St Andrew,2021-11-30T12:06:44Z,2021-11-30T12:08:54Z,Knight or Dame of St Andrew is an award within the Order of Barbados.,Knight or Dame of St Andrew is an award within the Order of Barbados and forms part of the national honours system of Barbados.,1
Nikolai Smolin,2021-11-25T17:54:19Z,2021-11-29T17:57:09Z,Nikolai Fyodorovich Smolin (1888–1962) was a Russian and Soviet portrait painter.,Nikolai Fyodorovich Smolin (1888–1962) was a Russian and Soviet portrait painter.,0
Mirotic (song),2021-11-20T16:04:01Z,2021-11-23T02:27:27Z,"""Mirotic"" (Korean title: 주문 Jumun; Japanese title: 呪文 Jumon; lit. ""Magic Spell"") is a song performed by TVXQ, released in South Korea as a digital single in September 2008 as the lead single from the group's album Mirotic, and was later re-released in Japanese as the group's 24th single in Japan, released on October 15, 2008.","Mirotic"" (Korean title: 주문 Jumun; Japanese title: 呪文 Jumon; lit. ""Magic Spell"") is a song by South Korean boy band TVXQ, released in South Korea as a digital single on September 19, 2008 as the lead single from the group's eponymous fourth studio album.",0
Jack Whiting (actor),2021-11-01T08:45:54Z,2021-12-01T21:08:51Z," Jack Whiting (born Albert Draper Whiting, Jr. ; June 22, 1901 – February 15, 1961) was an American actor, singer and dancer whose career ran from the early 1920s through the late 1950s."," Jack Whiting (born Albert Draper Whiting, Jr. ; June 22, 1901 – February 15, 1961) was an American actor, singer and dancer whose career ran from the early 1920s through the late 1950s.",0
Let It Be (Beatles album),2021-11-09T14:47:43Z,2021-12-01T23:37:08Z,Let It Be is the twelfth and final studio album by the English rock band the Beatles.,Let It Be is the twelfth and final studio album by the English rock band the Beatles.,0
Ayaka Furue,2021-11-16T11:14:32Z,2021-11-30T04:17:26Z," Ayaka Furue (古江 彩佳, Furue Ayaka) (born 27 May 2000) is a Japanese professional golfer."," Ayaka Furue (古江 彩佳, Furue Ayaka) (born 27 May 2000) is a Japanese professional golfer.",0
Garswood,2021-11-29T00:00:59Z,2021-11-29T00:58:06Z," Garswood is a village in the Metropolitan Borough of St. Helens, Merseyside, England."," Garswood is a village in the Metropolitan Borough of St. Helens, Merseyside, England.",0
Carla P. Catterall,2021-12-01T05:28:54Z,2021-12-01T18:12:50Z,Carla Perdita Catterall (born 1951) is an Australian ecologist and ornithologist.,Carla Perdita Catterall (born 1951) is an Australian ecologist and ornithologist.,0
Trepassia,2021-11-19T21:21:52Z,2021-11-29T01:05:35Z,Trepassia wardae is a 579 million-year-old fossil of Ediacaran Rangeomorph.,Trepassia is a 579 million-year-old fossil of Ediacaran rangeomorph.,0
Flip Stapper,2021-11-06T20:31:19Z,2021-11-08T11:41:01Z," Flip Stapper (died 4/5 November 2021) was a Dutch professional footballer who played as a midfielder for Blauw-Wit Amsterdam, Heracles, FC Twente, AZ'67 and KFC."," Flip Stapper (23 November 1944 – 4 November 2021) was a Dutch professional footballer who played as a midfielder for Blauw-Wit Amsterdam, Heracles, FC Twente, AZ'67 and KFC.",0
Edyth Starkie,2021-11-12T06:13:40Z,2021-11-22T22:00:44Z,Edyth Starkie (27 November 1867 – March 1941) was an established Irish portrait painter and sculptor who was married to Arthur Rackham.,Edyth Starkie (27 November 1867 – March 1941) was an established Irish portrait painter who was married to Arthur Rackham.,0
Karel Havlík,2021-11-30T22:33:14Z,2021-11-30T23:12:51Z,Karel Havlík (6 August 1944 – 17 November 2021) was a Czech politician.,Karel Havlík (6 August 1944 – 17 November 2021) was a Czech politician.,0
Red,2021-11-04T13:45:25Z,2021-12-01T22:49:37Z," Red is the color at the long wavelength end of the visible spectrum of light, next to orange and opposite violet."," Red is the color at the long wavelength end of the visible spectrum of light, next to orange and opposite violet.",0
Hugh Ker,2021-11-16T20:31:03Z,2021-11-27T17:30:28Z,Hugh Ker (23 June 1865 - 19 March 1938) was a Scotland international rugby union player.,Hugh Ker (23 June 1865 - 19 March 1938) was a Scotland international rugby union player.,0
Ilaïsaane Lauouvéa,2021-11-07T17:43:20Z,2021-11-07T18:53:07Z,Ilaïsaane Lauouvéa (born 1970) Lauouvéa was born in 1970 in Nouméa.," Ilaïsaane Lauouvéa (born 1970) is a Wallisian politician, who from 2009 to 2014 was an elected member of the Congress of New Caledonia representing the Kanak and Socialist National Liberation Front.",1
Villilä studios,2021-11-22T23:32:17Z,2021-11-23T06:56:28Z,Villilä Studios is a Finnish film studio.,Villilä Studios is a Finnish film studio.,0
Hierodoris frigida,2021-11-13T07:30:23Z,2021-11-13T21:44:20Z,Hierodoris frigida is a moth of the family Oecophoridae.,Hierodoris frigida is a moth of the family Oecophoridae.,0
Kanamori Michitomo,2021-11-16T07:26:09Z,2021-11-16T08:02:36Z," Kanamori Michitomo (金森 通倫, October 2, 1857 – March 4, 1945) was a Japanese Christian minister."," Kanamori Michitomo (金森 通倫, October 2, 1857 – March 4, 1945) was a Japanese Christian minister.",0
Bellingham Square station,2021-11-01T19:04:17Z,2021-11-26T08:15:22Z," Bellingham Square station and Chelsea station are a pair of adjacent transit stations located near Bellingham Square slightly north of downtown Chelsea, Massachusetts."," Bellingham Square station (formerly Chelsea station) is a Massachusetts Bay Transportation Authority (MBTA) Silver Line bus rapid transit (BRT) station located near Bellingham Square slightly north of downtown Chelsea, Massachusetts.",0
Zuhair Ramadan,2021-11-18T16:47:49Z,2021-11-27T14:54:17Z,Zuhair Ramadan (21 June 1959 – 17 November 2021) was a Syrian actor.,Zuhair Ramadan (Arabic: زهير رمضان; 21 June 1959 – 17 November 2021) was a Syrian actor.,0
Tochigi dialect,2021-11-02T09:59:42Z,2021-11-11T01:02:28Z,The Tochigi dialect is a Japanese dialect spoken in Tochigi prefecture.,The Tochigi dialect (Japanese: 栃木弁 Tochigi-ben) is a Japanese dialect spoken in Tochigi prefecture.,0
Slovenia in the Eurovision Song Contest 2020,2021-11-10T20:58:18Z,2021-11-27T19:04:41Z,Slovenia originally planned to participate in the Eurovision Song Contest 2020.,Slovenia originally planned to participate in the Eurovision Song Contest 2020.,0
Nicole Malliotakis,2021-11-01T23:41:55Z,2021-11-20T18:20:14Z," Nicole R. Malliotakis (/ˌmæliəˈtɔːkɪs/; born November 11, 1980) is an American politician serving as the U. S. representative for New York's 11th congressional district since 2021."," Nicole R. Malliotakis (/ˌmæliəˈtɔːkɪs/; born November 11, 1980) is an American politician serving as the U. S. representative for New York's 11th congressional district since 2021.",0
Isle of Man,2021-11-03T01:14:14Z,2021-11-25T03:13:40Z,"The Isle of Man (Manx: Mannin , also Ellan Vannin ), also known as Mann (/mæn/), is an island and self-governing British Crown Dependency in the Irish Sea between Great Britain and Northern Ireland.","The Isle of Man (Manx: Mannin , also Ellan Vannin ), also known as Mann (/mæn/), is an island and self-governing British Crown Dependency in the Irish Sea between Great Britain and Northern Ireland.",0
Karam Mashour,2021-11-10T01:24:21Z,2021-11-22T16:14:58Z," Karam Mashour (Arabic: كرم مشعور, Hebrew: כארם משעור; born 9 August 1991) is an Arab-Israeli professional basketball player for Hapoel Haifa of the Israeli Basketball Premier League."," Karam Mashour (Arabic: كرم مشعور, Hebrew: כארם משעור; born 9 August 1991) is an Arab-Israeli professional basketball player for Hapoel Haifa of the Israeli Basketball Premier League.",0
Copenhagen,2021-11-03T16:20:08Z,2021-12-01T14:35:17Z,Copenhagen (Danish: København (listen)) is the capital and most populous city of Denmark.,Copenhagen (Danish: København (listen)) is the capital and most populous city of Denmark.,0
"Sagwa, the Chinese Siamese Cat",2021-11-02T02:10:04Z,2021-12-01T16:19:32Z," Sagwa, the Chinese Siamese Cat, or simply Sagwa, is a Canadian-American children's animated television series based on the children's book of the same name by Amy Tan which aired on PBS Kids, produced by Canada-based animation studio CinéGroupe and Sesame Workshop."," Sagwa, the Chinese Siamese Cat, or simply Sagwa, is a children's animated television series based on the children's book of the same name by Amy Tan which aired on PBS Kids, co-produced by Canada-based animation studio CinéGroupe and Sesame Street creator Sesame Workshop.",0
Takako Nakamoto,2021-11-08T04:43:46Z,2021-11-19T21:02:50Z," Takako Nakamoto (中本 たか子, November 19, 1903 – September 28, 1991) was a Japanese novelist and activist."," Takako Nakamoto (中本 たか子, November 19, 1903 – September 28, 1991) was a Japanese novelist and activist.",0
Sam Fender,2021-11-07T12:25:14Z,2021-11-28T14:23:07Z," Samuel Thomas Fender (born 25 April 1994) is an English singer, songwriter, musician, and actor."," Samuel Thomas Fender (born 25 April 1994) is an English singer, songwriter, musician, and actor.",0
Paul Rudd,2021-11-04T11:24:32Z,2021-12-01T08:26:26Z," Paul Stephen Rudd (born April 6, 1969) is an American actor, screenwriter and producer."," Paul Stephen Rudd (born April 6, 1969) is an American actor, comedian, screenwriter and producer.",1
Laguerre polynomials,2021-11-16T10:33:45Z,2021-11-23T01:04:01Z," In mathematics, the Laguerre polynomials, named after Edmond Laguerre (1834–1886), are solutions of Laguerre's equation: which is a second-order linear differential equation."," In mathematics, the Laguerre polynomials, named after Edmond Laguerre (1834–1886), are solutions of Laguerre's equation: which is a second-order linear differential equation.",0
